,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
0,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],-0.3611928492206673,-0.43786995835028897,-0.35645560044027835,-0.34420209422931575,-0.18277560447374294,-0.1396119226227448,-0.03759683840243847,-0.03507654509479976,-0.03972095380209773,0,
1,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
2,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],7.889871779740862,7.299982458053498,4.572215040416324,5.402940513900659,2.315912071190942,1.7561391607064298,0.24531159076467127,0.24192532391407134,0.31369261435070034,0,
3,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 1: ,1,[Mt CO2/a],-1.2913726481999999,-1.4671295073000004,-1.0025237343,-1.1036531061000001,-0.5140524691143311,-0.3926555392808502,-0.10574030198019366,-0.09865203108422657,-0.03972095380209773,0,
4,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
5,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 3: Total CO2,3,[Mt CO2/a],7.486060668892332,6.8527348689149274,4.290163064681713,5.053443085535289,2.161830117837307,1.6033341826900858,0.22235134841071635,0.20744608937415768,0.23491357287860035,0,
6,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],7.124867819671665,6.4148649105646385,3.9337074642414347,4.709240991305973,1.9790545133635642,1.463722260067341,0.1847545100082779,0.1723695442793579,0.19519261907650262,0,
7,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
8,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
9,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 1: ,1,[Mt CO2/a],6.598499131540862,5.832852950753498,3.5696913061163245,4.299287407800659,1.8018596020766109,1.3634836214255797,0.1395712887844776,0.14327329282984477,0.2019782833471998,0,
10,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
11,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
12,"Total Energy, Gas, Oil & Coal Sector - ",Coal,Total,Coal - total CO2 emissions,Total,[Mt CO2/a],7.528678930520195,6.862112499703209,4.572215040416324,5.402940513900659,2.315912071190942,1.7561391607064298,0.24531159076467127,0.24192532391407134,0.31369261435070034,0,
13,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],7.048646658017012,6.719653278777702,6.836663748565023,6.008504308928953,5.780433675013949,5.153469315903679,3.0455969478192073,2.2280028329559887,1.4852940061985116,1.1537789410725372,
14,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
15,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],83.97789700423293,79.497718406834,76.15372928457069,68.7891525429883,57.2411334023336,49.905746458240905,25.374797463837567,15.864519831677322,6.394431445020815,0,
16,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 1: ,1,[Mt CO2/a],7.048646658017012,6.719653278777702,6.836663748565023,6.008504308928953,5.780433675013949,5.153469315903679,3.0455969478192073,2.2280028329559887,1.4852940061985116,1.1537789410725372,
17,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
18,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 3: Total CO2 ,3,[Mt CO2/a],78.22935665650202,74.0497255195662,70.89929163714848,63.81405130223808,52.24098835115793,44.99153569068425,22.041753854717197,12.759041169546183,6.394431445020815,0,
19,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],91.02654366224994,86.2173716856117,82.99039303313572,74.79765685191725,63.02156707734755,55.05921577414458,28.420394411656773,18.09252266463331,7.879725451219326,1.1537789410725372,
20,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
21,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
22,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Production Centric  CO2,Oil Scope 1: ,1,[Mt CO2/a],79.39272646300202,75.19757497231619,72.36071728689848,64.96257015998808,53.38656187670081,46.01285664079144,22.645334040746658,13.200589538365199,4.58278614249286,0.22865734364098725,
23,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
24,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 3: Total CO2,3,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
25,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Total,Oil - total CO2 emissions,Total,[Mt CO2/a],85.27800331451903,80.7693787983439,77.73595538571351,69.82255561116703,58.02142202617188,50.14500500658793,25.087350802536402,14.987044002502172,7.879725451219326,1.1537789410725372,
26,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  GHG,Gas Scope 1: ,1,[Mt CO2 equiv./a],589.3236883821772,579.6257306578605,572.4285357081092,533.7010181992,495.34977469693644,389.4118473474074,324.86979972011295,214.84505493289208,125.9466339925784,20.087725398951836,
27,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  GHG,Gas Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
28,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  GHG,Gas Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],124.10523031844758,122.31620348066775,120.39376021045085,104.78025757075432,96.29976416833587,72.47333874161563,63.011229011850176,45.346869009058665,31.837784284224526,3.27778626682437,
29,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  CO2,Gas Scope 1: ,1,[Mt CO2/a],11.780760474560003,11.520628115920003,11.236494167360002,9.3010181992,8.85532554043647,6.961482277192546,5.807669613937122,3.8407666650251575,2.2515371999691385,0.35910654826368843,
30,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  CO2,Gas Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
31,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  CO2,Gas Scope 3: Total CO2,3,[Mt CO2/a],114.14307885823169,112.48320893824118,110.5882827147371,95.14915702096174,86.49829195395701,63.783634586307116,53.0668831863256,35.10994894548563,31.837784284224526,3.27778626682437,
32,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  GHG,Gas Scope 1: ,1,[Mt CO2 equiv./a],713.4289187006248,701.9419341385283,692.82229591856,638.4812757699543,591.6495388652723,461.885186089023,387.8810287319631,260.19192394195073,157.7844182768029,23.365511665776207,
33,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  GHG,Gas Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
34,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  GHG,Gas Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
35,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  CO2,Gas Scope 1: ,1,[Mt CO2/a],125.92383933279169,124.00383705416118,121.82477688209711,104.45017522016174,95.35361749439348,70.74511686349966,58.87455280026272,38.950715610510784,22.862617366391028,3.6368928150880584,
36,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  CO2,Gas Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
37,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  CO2,Gas Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
38,"Total Energy, Gas, Oil & Coal Sector - ",Gas,Total,Gas - total CO2 emissions,Total,[Mt CO2/a],678.7689285739763,667.8979656391256,659.9816272699733,608.25411692799,562.9566612722319,441.8534217038873,368.16514234250513,242.40833138027395,140.76449897064032,19.728618850688147,
39,Energy Industry,Energy Industry - ,OECM  GHG,Energy Industry - Scope 1: Total CO2 equivalent,1,[Mt CO2 equiv./a],596.0111421909736,585.907513978288,578.9087438562339,539.3653204138997,500.94743276747664,394.42570474068833,327.8777998295297,217.03798122075327,127.39220704497481,21.241504340024374,
40,Energy Industry,Energy Industry - ,OECM  GHG,Energy Industry - Scope 2: Total CO2 equivalent,2,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
41,Energy Industry,Energy Industry - ,OECM  GHG,Energy Industry - Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],215.97299910242137,209.11390434555523,201.11970453543785,178.97235062764327,155.85680964186042,124.13522436056297,88.63133806645241,61.45331416465006,38.54590834359604,3.27778626682437,
42,Energy Industry,Energy Industry - ,OECM  CO2,Energy Industry - Scope 1: Total CO2 (energy-only),1,[Mt CO2/a],17.538034484377015,16.773151887397702,17.070634181625024,14.205869402028952,14.121706746336088,11.722296053815374,8.747526259776135,5.9701174668969195,3.6971102523655524,1.5128854893362256,
43,Energy Industry,Energy Industry - ,OECM  CO2,Energy Industry - Scope 2: Total CO2 (energy-only),2,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
44,Energy Industry,Energy Industry - ,OECM  CO2,Energy Industry - Scope 3: Total CO2 (energy-only),3,[Mt CO2/a],199.85849618362604,193.38566932672228,185.77773741656728,164.0166514087351,140.90111042295223,110.37850445968145,75.33098838945351,48.076436204405965,38.46712930212394,3.27778626682437,
