,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
0,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],26.981744117700792,27.99236819487322,28.535069722528053,28.535069722528053,30.48186326461154,8.191737740455247,1.8754687545078146,0.023578781573960667,0,0,
1,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],11.652830745719998,11.25688870068,11.52027457494,11.52027457494,9.385266684584945,2.51039983800724,0.5919650976290837,0.0072252205021413685,0,0,
2,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],190.42928883521827,185.51387552135682,178.9236678594229,178.94126923725017,82.12874947680976,21.888776173059277,5.848620495151221,0.17394386938317724,0,0,
3,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 1: ,1,[Mt CO2/a],16.378695743999998,16.9882076256,17.4740376912,17.4740376912,18.666196815468567,5.016379333397291,1.1484819214955135,0.014438952557059261,0,0,
4,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],11.652830745719998,11.25688870068,11.52027457494,11.52027457494,9.385266684584945,2.51039983800724,0.5919650976290837,0.0072252205021413685,0,0,
5,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 3: Total CO2,3,[Mt CO2/a],186.7050097681233,182.01092842309126,175.5451864222195,175.5451864222195,79.31784608824918,20.85462913813094,5.447240629906148,0.060003037753535333,0,0,
6,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],213.6867538858241,210.00329661796448,204.08025614474755,204.08025614474755,109.79970935286073,29.046366878586184,7.3227093844139635,0.083581819327496,0,0,
7,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],11.652830745719998,11.25688870068,11.52027457494,11.52027457494,9.385266684584945,2.51039983800724,0.5919650976290837,0.0072252205021413685,0,0,
8,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
9,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 1: ,1,[Mt CO2/a],206.80798457921827,202.50208314695683,196.3977055506229,196.41530692845018,100.79494629227833,26.905155506456566,6.997102416646735,0.1883828219402365,0,0,
10,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],11.652830745719998,11.25688870068,11.52027457494,11.52027457494,9.385266684584945,2.51039983800724,0.5919650976290837,0.0072252205021413685,0,0,
11,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
12,"Total Energy, Gas, Oil & Coal Sector - ",Coal,Total,Coal - total CO2 emissions,Total,[Mt CO2/a],217.41103295291907,213.50624371623005,178.9236678594229,178.94126923725017,82.12874947680976,21.888776173059277,5.848620495151221,0.17394386938317724,0,0,
13,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],10.199078529072995,10.491431564529323,10.563314484959493,9.827331333864395,7.811574758263934,6.571633732644987,3.501672172922535,2.3866030528446496,1.1499476157169461,0.8496365168466642,
14,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],2.09493027,2.2682700749999998,2.38572018,2.38572018,1.7642409079937897,1.4842007434184605,0.790851202866349,0.5390133061860575,0.25971519040402063,0.1918900537129819,
