,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
0,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],9.54780663181671,7.963672087152817,7.37598320935036,7.15470371306985,6.639559093816037,6.6558699327656345,3.15124102177644,0.09879393701294302,0.09624164751393541,0,
1,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.66757134852,0.81884077996,0.80041853442,0.7764059783874,0.635777466290391,0.5596404917906052,0.2666347701815781,0.008255310492814675,0.008042038880012183,0,
2,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],77.25207945522033,75.02665671069686,69.2054550083114,65.12119471147057,70.43452142049317,66.91411728779859,35.12979378905729,1.0682208870427052,1.4356425108804547,0,
3,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 1: ,1,[Mt CO2/a],0.34501586400000017,-1.1347483721999985,-1.0914926028000032,-1.058747824716002,-0.9825171005767483,-0.9849307665997917,-0.46631834255650995,-0.014619454571753844,0.09624164751393541,0,
4,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.66757134852,0.81884077996,0.80041853442,0.7764059783874,0.635777466290391,0.5596404917906052,0.2666347701815781,0.008255310492814675,0.008042038880012183,0,
5,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 3: Total CO2,3,[Mt CO2/a],70.96551032965344,70.63814243129754,67.13525227986656,65.12119471147057,59.56484815603056,55.32587018184222,26.05828166536085,0.33186854684768596,0.32329489716046583,0,
6,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],80.51331696147015,78.60181451845035,74.51123548921693,72.27589842454042,66.2044072498466,61.98174011460785,29.20952268713729,0.430662483860629,0.41953654467440127,0,
7,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.66757134852,0.81884077996,0.80041853442,0.7764059783874,0.635777466290391,0.5596404917906052,0.2666347701815781,0.008255310492814675,0.008042038880012183,0,
8,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
9,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 1: ,1,[Mt CO2/a],77.59709531922033,73.89190833849686,68.1139624055114,64.06244688675456,69.45200431991643,65.9291865211988,34.663475446500776,1.0536014324709513,1.4214007422428065,0,
10,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.66757134852,0.81884077996,0.80041853442,0.7764059783874,0.635777466290391,0.5596404917906052,0.2666347701815781,0.008255310492814675,0.008042038880012183,0,
11,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
12,"Total Energy, Gas, Oil & Coal Sector - ",Coal,Total,Coal - total CO2 emissions,Total,[Mt CO2/a],86.79988608703704,82.99032879784967,69.2054550083114,65.12119471147057,70.43452142049317,66.91411728779859,35.12979378905729,1.0682208870427052,1.4356425108804547,0,
13,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],27.902064837693576,26.219734820771095,26.78887071748447,25.98540404304164,19.508511907725442,15.450035913329234,9.738177833858025,3.8104178907791715,3.3709260339547624,3.467994920933464,
14,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],4.584880515150001,4.614153186825001,4.9526171955,4.804038679635,3.1508548192215104,2.495363067409618,1.5728306035529462,0.6154274416827745,0.5444443220253792,0.5601220924150414,
15,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],366.47446130022803,335.195904828075,327.9806962722851,307.94331892351863,235.79804418559573,179.70427613604414,111.92056134190321,18.366605382074038,0.8051218626935935,0,
16,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 1: ,1,[Mt CO2/a],27.902064837693576,26.219734820771095,26.78887071748447,25.98540404304164,19.508511907725442,15.450035913329234,9.738177833858025,3.8104178907791715,3.3709260339547624,3.467994920933464,
17,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],4.584880515150001,4.614153186825001,4.9526171955,4.804038679635,3.1508548192215104,2.495363067409618,1.5728306035529462,0.6154274416827745,0.5444443220253792,0.5601220924150414,
18,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 3: Total CO2 ,3,[Mt CO2/a],334.75884498636117,314.2766766844146,317.46403733630405,307.94331892351863,193.83043346991025,143.32825949595323,76.71287542974619,6.124750353554802,0.8051218626935935,0,
19,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],394.3765261379216,361.41563964884614,354.7695669897696,333.92872296656026,255.30655609332118,195.1543120493734,121.65873917576124,22.17702327285321,4.176047896648356,3.467994920933464,
20,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],4.584880515150001,4.614153186825001,4.9526171955,4.804038679635,3.1508548192215104,2.495363067409618,1.5728306035529462,0.6154274416827745,0.5444443220253792,0.5601220924150414,
21,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
22,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Production Centric  CO2,Oil Scope 1: ,1,[Mt CO2/a],338.6769904013112,317.98982928048963,321.45732169857905,311.8168047549254,196.37096078723016,145.34026525410863,77.98104528938774,6.620968147496097,0.5732656803794453,0.4516252123499571,
23,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],4.584880515150001,4.614153186825001,4.9526171955,4.804038679635,3.1508548192215104,2.495363067409618,1.5728306035529462,0.6154274416827745,0.5444443220253792,0.5601220924150414,
24,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 3: Total CO2,3,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
25,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Total,Oil - total CO2 emissions,Total,[Mt CO2/a],367.24579033920475,345.1105646920107,344.25290805378853,333.92872296656026,213.3389453776357,158.77829540928246,86.45105326360422,9.935168244333973,4.176047896648356,3.467994920933464,
