,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
0,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],1492.3049612025816,1512.0901930814653,1520.4089908321907,1468.7150851438964,1239.7561072131723,820.4072464767369,585.0383836537655,254.26915745348566,153.5910216961626,0,
1,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],149.79320121999,153.991834378413,174.463363619184,168.5316092561318,112.12183867197409,74.1965039733146,52.91006746189073,22.99575318515164,13.890560938466695,0,
2,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],7276.176559927922,7712.223846803642,7729.361805192641,7470.208640825633,6734.690481687719,4415.780581839724,3081.28171412848,1246.3980170966527,720.980043724015,0,
3,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 1: ,1,[Mt CO2/a],409.18679163780007,394.5057638451,393.71390147880004,380.3276288285209,321.0381001403462,212.44661124704317,151.49722603067514,65.84366615192447,153.5910216961626,0,
4,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],149.79320121999,153.991834378413,174.463363619184,168.5316092561318,112.12183867197409,74.1965039733146,52.91006746189073,22.99575318515164,13.890560938466695,0,
5,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 3: Total CO2,3,[Mt CO2/a],6900.209601026407,7351.063696083601,7381.447818441718,7130.478592614697,6410.0569892997655,4147.953418116952,2856.4652178174556,1084.6414208142337,524.4005245201955,0,
6,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],8392.51456222899,8863.153889165067,8901.856809273908,8599.193677758594,7649.813096512938,4968.360664593689,3441.5036014712214,1338.9105782677193,677.9915462163581,0,
7,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],149.79320121999,153.991834378413,174.463363619184,168.5316092561318,112.12183867197409,74.1965039733146,52.91006746189073,22.99575318515164,13.890560938466695,0,
8,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
9,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 1: ,1,[Mt CO2/a],7685.363351565722,8106.729610648742,8123.075706671441,7850.536269654153,7055.728581828065,4628.227193086766,3232.778940159155,1312.2416832485771,760.7528421938614,0,
10,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],149.79320121999,153.991834378413,174.463363619184,168.5316092561318,112.12183867197409,74.1965039733146,52.91006746189073,22.99575318515164,13.890560938466695,0,
11,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
12,"Total Energy, Gas, Oil & Coal Sector - ",Coal,Total,Coal - total CO2 emissions,Total,[Mt CO2/a],8768.481521130503,9224.314039885106,7729.361805192641,7470.208640825633,6734.690481687719,4415.780581839724,3081.28171412848,1246.3980170966527,720.980043724015,0,
13,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],130.33622967078048,134.97103552607408,136.94225318527407,132.286420509153,113.35898143454064,101.57906695359858,84.7367777648222,61.52591825964222,43.23470453584136,56.83032403235348,
14,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],37.813499955000005,41.357520112500005,44.1009900075,42.60155634724501,36.50621478194463,32.71260193616815,27.288697991687663,19.813854696108663,13.923337964453678,18.301681869386076,
15,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],1454.5889576011393,1517.68393257704,1525.3231445571507,1474.3282875673983,1194.6691172489698,981.6084677554755,732.1692473626734,385.8375750926653,114.96317547943897,0,
16,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 1: ,1,[Mt CO2/a],130.33622967078048,134.97103552607408,136.94225318527407,132.286420509153,113.35898143454064,101.57906695359858,84.7367777648222,61.52591825964222,43.23470453584136,56.83032403235348,
17,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],37.813499955000005,41.357520112500005,44.1009900075,42.60155634724501,36.50621478194463,32.71260193616815,27.288697991687663,19.813854696108663,13.923337964453678,18.301681869386076,
18,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 3: Total CO2 ,3,[Mt CO2/a],1366.887179111964,1432.221028420918,1442.9370144195648,1393.879954842694,1120.2868221670285,909.1644616077816,663.4776583271059,322.08927845880254,114.96317547943897,0,
19,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],1584.9251872719199,1652.654968103114,1662.2653977424247,1606.6147080765513,1308.0280986835105,1083.187534709074,816.9060251274956,447.3634933523075,158.19788001528033,56.83032403235348,
20,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],37.813499955000005,41.357520112500005,44.1009900075,42.60155634724501,36.50621478194463,32.71260193616815,27.288697991687663,19.813854696108663,13.923337964453678,18.301681869386076,
21,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
22,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Production Centric  CO2,Oil Scope 1: ,1,[Mt CO2/a],1370.847488621964,1435.862824713418,1445.8451068770648,1396.689172156639,1122.6941025442081,911.3215848592005,665.2771203525871,323.39583691442806,77.23602006520956,1.2068432702956289,
23,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],37.813499955000005,41.357520112500005,44.1009900075,42.60155634724501,36.50621478194463,32.71260193616815,27.288697991687663,19.813854696108663,13.923337964453678,18.301681869386076,
24,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 3: Total CO2,3,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
