,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
0,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],132.732181987787,131.83696870973404,112.91399748311427,107.71995359889098,74.5505792606083,31.817301469460787,16.395903496677136,1.4028527089299423,1.371358074191177,0,
1,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],19.9283200081,19.842527847899998,18.4349332299,17.5869263013246,11.711110661820205,4.980457502626195,2.5664998856279366,0.21959273654856626,0.21466278703579214,0,
2,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],968.537130559039,935.75826110559,780.1856526098749,745.1491186502134,424.0026122533001,174.86939906647345,92.01983097153706,2.050127219937163,2.9208450248156193,0,
3,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 1: ,1,[Mt CO2/a],43.60351632539998,48.33024794019998,43.14665882340002,41.16191251752362,20.293577839366474,8.34596426133119,4.300792911267012,0.36798087933003343,1.371358074191177,0,
4,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],19.9283200081,19.842527847899998,18.4349332299,17.5869263013246,11.711110661820205,4.980457502626195,2.5664998856279366,0.21959273654856626,0.21466278703579214,0,
5,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 3: Total CO2,3,[Mt CO2/a],927.9810878615026,897.4069306891299,747.8308351758656,713.4306167577756,396.9611277933762,161.38943711855873,80.50253862609196,1.6836181440520392,1.6458202069279602,0,
6,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],1060.7132698492896,1029.243899398864,860.7448326589798,821.1505703566665,471.5117070539845,193.2067385880195,96.8984421227691,3.0864708529819813,3.017178281119137,0,
7,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],19.9283200081,19.842527847899998,18.4349332299,17.5869263013246,11.711110661820205,4.980457502626195,2.5664998856279366,0.21959273654856626,0.21466278703579214,0,
8,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
9,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 1: ,1,[Mt CO2/a],1012.140646884439,984.08850904579,823.3323114332749,786.311031167737,444.29619009266656,183.21536332780465,96.32062388280407,2.4181080992671964,3.2805645782690473,0,
10,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],19.9283200081,19.842527847899998,18.4349332299,17.5869263013246,11.711110661820205,4.980457502626195,2.5664998856279366,0.21959273654856626,0.21466278703579214,0,
11,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
12,"Total Energy, Gas, Oil & Coal Sector - ",Coal,Total,Coal - total CO2 emissions,Total,[Mt CO2/a],1101.269312546826,1067.595229815324,780.1856526098749,745.1491186502134,424.0026122533001,174.86939906647345,92.01983097153706,2.050127219937163,2.9208450248156193,0,
13,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],108.6304942379027,105.94817372790921,105.08257989507383,100.24906688616925,80.87216770595099,65.62185997785586,31.551349273055056,22.437516536676664,15.526306165714647,14.399529957778446,
14,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],10.846947,10.895757,10.80985575,10.312602385500002,8.31932816994076,6.750527452938703,3.245690529297534,2.308149622819499,1.5971927045310297,1.4812811206844538,
15,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],1216.0608423226279,1204.35725237301,1202.1101246524315,1148.4866465818384,891.1526000704284,699.1785080440002,249.30198914439484,127.10111320863629,28.17407801122498,0,
16,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 1: ,1,[Mt CO2/a],108.6304942379027,105.94817372790921,105.08257989507383,100.24906688616925,80.87216770595099,65.62185997785586,31.551349273055056,22.437516536676664,15.526306165714647,14.399529957778446,
17,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],10.846947,10.895757,10.80985575,10.312602385500002,8.31932816994076,6.750527452938703,3.245690529297534,2.308149622819499,1.5971927045310297,1.4812811206844538,
18,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 3: Total CO2 ,3,[Mt CO2/a],1152.4672598065556,1141.4376196083263,1138.7132602677248,1086.3363709868509,833.2423337414532,638.4355546981601,210.3066119774584,95.71194273104697,28.17407801122498,0,
19,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],1324.6913365605305,1310.3054261009192,1307.1927045475054,1248.7357134680076,972.0247677763795,764.800368021856,280.8533384174499,149.53862974531296,43.70038417693963,14.399529957778446,
20,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],10.846947,10.895757,10.80985575,10.312602385500002,8.31932816994076,6.750527452938703,3.245690529297534,2.308149622819499,1.5971927045310297,1.4812811206844538,
21,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
22,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Production Centric  CO2,Oil Scope 1: ,1,[Mt CO2/a],1159.1819025565555,1147.0794016083262,1143.9268620177247,1091.3101470563508,837.2547521223023,641.6913392854858,211.87201101837567,96.8251650710207,13.771135634434915,0.714423024844011,
