,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
0,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],8.407191943324342,9.856073661273058,8.90050411169659,8.72471915549058,3.520429796310346,2.588985589986552,2.3697657351343286,0.6038284784906873,0.37611769849590293,0,
1,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.053083465600000004,0.054243923799999996,0.05017233979999999,0.049181436088949995,0.01560728054685717,0.011477866843713234,0.010505989551995654,0.0026769800880174343,0.001667459594057562,0,
2,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],41.520459409517684,37.22481215484982,31.33529912340799,30.707043777753217,12.53997558999368,9.03225187735087,8.73250955813485,1.390790205343112,0.692185289048151,0,
3,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 1: ,1,[Mt CO2/a],2.226207113699999,4.563998603400002,4.4495192211,4.3616412164832745,1.759925038923461,1.2942796274491277,1.1846877497789772,0.30186452223094823,0.37611769849590293,0,
4,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.053083465600000004,0.054243923799999996,0.05017233979999999,0.049181436088949995,0.01560728054685717,0.011477866843713234,0.010505989551995654,0.0026769800880174343,0.001667459594057562,0,
5,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 3: Total CO2,3,[Mt CO2/a],39.13026508116739,35.13675605387363,29.606382954120708,29.02165689077682,11.790222172834845,8.319011077841633,7.692847818736558,1.1168860502135296,0.4244322219076555,0,
6,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],47.53745702449173,44.99282971514669,38.506887065817295,37.7463760462674,15.31065196914519,10.907996667828186,10.062613553870886,1.720714528704217,0.8005499204035584,0,
7,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.053083465600000004,0.054243923799999996,0.05017233979999999,0.049181436088949995,0.01560728054685717,0.011477866843713234,0.010505989551995654,0.0026769800880174343,0.001667459594057562,0,
8,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
9,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 1: ,1,[Mt CO2/a],43.746666523217684,41.788810758249824,35.78481834450799,35.06868499423649,14.299900628917142,10.326531504799998,9.917197307913828,1.6926547275740602,0.8802131701491922,0,
10,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.053083465600000004,0.054243923799999996,0.05017233979999999,0.049181436088949995,0.01560728054685717,0.011477866843713234,0.010505989551995654,0.0026769800880174343,0.001667459594057562,0,
11,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
12,"Total Energy, Gas, Oil & Coal Sector - ",Coal,Total,Coal - total CO2 emissions,Total,[Mt CO2/a],49.92765135284203,47.08088581612288,31.33529912340799,30.707043777753217,12.53997558999368,9.03225187735087,8.73250955813485,1.390790205343112,0.692185289048151,0,
13,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],16.312212840921113,15.710231374484845,15.490431477553733,15.184495455872046,13.115745774053602,10.590335977896455,5.671249768165618,4.4702734612912804,2.9833678638665777,2.245632791049425,
14,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.8437238325,0.8232861750000001,0.7747100849999999,0.75940956082125,0.6559469010388134,0.5296456782048512,0.28363150479819,0.22356807414877247,0.14920469934949412,0.11230896782659697,
15,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],193.47779646446742,187.1778958592148,185.45464003559692,181.72402475086116,145.62849162319134,113.20570407183234,47.210141619383606,31.090448155166335,11.43033217775491,0,
16,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 1: ,1,[Mt CO2/a],16.312212840921113,15.710231374484845,15.490431477553733,15.184495455872046,13.115745774053602,10.590335977896455,5.671249768165618,4.4702734612912804,2.9833678638665777,2.245632791049425,
17,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.8437238325,0.8232861750000001,0.7747100849999999,0.75940956082125,0.6559469010388134,0.5296456782048512,0.28363150479819,0.22356807414877247,0.14920469934949412,0.11230896782659697,
18,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 3: Total CO2 ,3,[Mt CO2/a],180.54745491835624,174.34444698041554,172.94615651212075,169.53046992100633,140.62834657201566,108.29149330427569,43.87709801026323,27.984969493035198,11.43033217775491,0,
19,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],209.79000930538854,202.88812723369963,200.94507151315065,196.90852020673321,158.74423739724494,123.7960400497288,52.881391387549215,35.56072161645762,14.413700041621485,2.245632791049425,
20,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.8437238325,0.8232861750000001,0.7747100849999999,0.75940956082125,0.6559469010388134,0.5296456782048512,0.28363150479819,0.22356807414877247,0.14920469934949412,0.11230896782659697,
21,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
22,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Production Centric  CO2,Oil Scope 1: ,1,[Mt CO2/a],180.81560847085623,174.65871258791555,173.09658457462075,169.67792702927196,140.75571398769367,108.3943363867739,43.932171693382706,28.02838045783638,9.3533010424448,0.021807409970053277,
23,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.8437238325,0.8232861750000001,0.7747100849999999,0.75940956082125,0.6559469010388134,0.5296456782048512,0.28363150479819,0.22356807414877247,0.14920469934949412,0.11230896782659697,
24,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 3: Total CO2,3,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
25,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Total,Oil - total CO2 emissions,Total,[Mt CO2/a],197.70339159177735,190.8779645299004,188.43658798967448,184.71496537687838,153.74409234606927,118.88182928217215,49.54834777842885,32.45524295432648,14.413700041621487,2.245632791049425,
