,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
0,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],43.55330306352343,43.90702136243072,37.394101126341766,36.2722780925515,25.743196096855577,10.614780506920265,3.1791589558595312,0.5867433255112415,0.2740837008942211,0,
1,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],1.381740054186,1.5421089851240002,0.569717694467,0.55262616363299,0.46936536662114575,0.25830257496594955,0.07768682676556944,0.015048619432360104,0.007029617769875982,0,
2,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],332.99993910612085,321.66085556029594,262.4586730383717,254.62191490137437,181.19625892115798,70.88179122310805,20.53422855360925,3.0986369681803962,0.7748712400601815,0,
3,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 1: ,1,[Mt CO2/a],21.119092021238004,23.260011925727003,19.922034911568,19.324373864220956,11.084999465605023,2.363042309725129,0.6966800492759918,0.10435058317117095,0.2740837008942211,0,
4,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],1.381740054186,1.5421089851240002,0.569717694467,0.55262616363299,0.46936536662114575,0.25830257496594955,0.07768682676556944,0.015048619432360104,0.007029617769875982,0,
5,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 3: Total CO2,3,[Mt CO2/a],323.41639459071416,312.5174239851955,254.78000610590402,247.1366059227269,173.29715866299358,64.15445716787305,18.336264131032664,2.44274147214522,0.522358665869203,0,
6,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],366.9696976542376,356.4244453476262,292.1741072322458,283.4088840152784,199.04035475984915,74.76923767479332,21.515423086892195,3.029484797656462,0.7964423667634242,0,
7,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],1.381740054186,1.5421089851240002,0.569717694467,0.55262616363299,0.46936536662114575,0.25830257496594955,0.07768682676556944,0.015048619432360104,0.007029617769875982,0,
8,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
9,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 1: ,1,[Mt CO2/a],354.1190311273589,344.9208674860229,282.38070794993973,273.94628876559534,192.281258386763,73.24483353283318,21.23090860288524,3.2029875513515673,0.823616224080416,0,
10,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],1.381740054186,1.5421089851240002,0.569717694467,0.55262616363299,0.46936536662114575,0.25830257496594955,0.07768682676556944,0.015048619432360104,0.007029617769875982,0,
11,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
12,"Total Energy, Gas, Oil & Coal Sector - ",Coal,Total,Coal - total CO2 emissions,Total,[Mt CO2/a],376.55324216964425,365.56787692272667,262.4586730383717,254.62191490137437,181.19625892115798,70.88179122310805,20.53422855360925,3.0986369681803962,0.7748712400601815,0,
13,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],23.577010174812337,22.243420959606897,22.596629939591843,21.918922344375705,17.1670130802516,13.677080782342074,7.814599970482419,5.464839345612512,3.770639214107065,3.3139652704225804,
14,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],1.813590195,1.7841599175000002,1.7590497899999997,1.7062782963,1.3363776295169674,1.0647015126728403,0.6083327679286402,0.4254140785144473,0.2935279347173579,0.25797784574903854,
15,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],248.34951619744203,235.6559550598446,241.9110190855732,234.70389236042956,179.78418997850778,134.52145294469366,61.269662497084724,31.164547374210898,9.461779891037327,0,
16,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 1: ,1,[Mt CO2/a],23.577010174812337,22.243420959606897,22.596629939591843,21.918922344375705,17.1670130802516,13.677080782342074,7.814599970482419,5.464839345612512,3.770639214107065,3.3139652704225804,
17,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],1.813590195,1.7841599175000002,1.7590497899999997,1.7062782963,1.3363776295169674,1.0647015126728403,0.6083327679286402,0.4254140785144473,0.2935279347173579,0.25797784574903854,
18,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 3: Total CO2 ,3,[Mt CO2/a],238.55884724257797,226.31413637941586,232.06081878487825,225.1016198023173,169.4822992593173,125.6740905801397,54.029477006521795,25.241459611214157,9.461779891037327,0,
19,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],271.92652637225433,257.8993760194515,264.50764902516505,256.62281470480525,196.95120305875938,148.19853372703574,69.08426246756714,36.62938671982341,13.232419105144391,3.3139652704225804,
20,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],1.813590195,1.7841599175000002,1.7590497899999997,1.7062782963,1.3363776295169674,1.0647015126728403,0.6083327679286402,0.4254140785144473,0.2935279347173579,0.25797784574903854,
