,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
0,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],2234.5136535688284,2198.683423746368,2251.451825916281,2181.7467558623002,1592.5142718677234,764.9887477435929,451.64918268354745,83.90329954781144,57.536069782450156,0,
1,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],237.91120314679998,249.23806219160002,255.2197756841984,247.3079626379882,144.64882513630698,69.48429006782337,41.02350905296934,7.620976413867041,5.226028453252863,0,
2,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],13576.594343968338,14232.711622172315,14527.565386105682,14082.02093874475,9405.379304356818,4501.975002918115,2687.0213602316585,305.2443849049531,95.12491562771095,0,
3,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 1: ,1,[Mt CO2/a],591.2235899270003,506.27558571829985,518.426199775539,502.3549875824976,356.21094912494993,171.11141339038886,101.0241395491729,18.767350782727164,57.536069782450156,0,
4,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],237.91120314679998,249.23806219160002,255.2197756841984,247.3079626379882,144.64882513630698,69.48429006782337,41.02350905296934,7.620976413867041,5.226028453252863,0,
5,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 3: Total CO2,3,[Mt CO2/a],12595.765004954137,13274.369916775726,13592.767036904092,13170.839317545437,8713.651614615943,4059.198410866439,2292.9468068555357,222.54606135526302,58.08675948399407,0,
6,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],14830.278658522966,15473.053340522094,15844.218862820373,15352.586073407736,10306.165886483666,4824.187158610032,2744.5959895390833,306.4493609030745,115.62282926644423,0,
7,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],237.91120314679998,249.23806219160002,255.2197756841984,247.3079626379882,144.64882513630698,69.48429006782337,41.02350905296934,7.620976413867041,5.226028453252863,0,
8,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
9,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 1: ,1,[Mt CO2/a],14167.817933895338,14738.987207890616,15045.99158588122,14584.375926327248,9761.590253481769,4673.086416308504,2788.0454997808315,324.01173568768024,107.99448822004264,0,
10,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],237.91120314679998,249.23806219160002,255.2197756841984,247.3079626379882,144.64882513630698,69.48429006782337,41.02350905296934,7.620976413867041,5.226028453252863,0,
11,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
