,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
0,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],217.68665819724418,225.7880295235671,225.39452833639842,218.6326924863065,197.69567289092504,114.72588652086345,115.98202115225786,81.08568416667647,20.305089522086035,0,
1,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.468812163,0.5196992520000001,0.5605385745,0.543722417265,0.4933871589692725,0.28735272074156276,0.29049894793487574,0.20309445989112745,0.05085794406139844,0,
2,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],1800.8749386558752,1934.6433779641047,1915.4683303110521,1859.4826980385324,1704.9262564626185,1001.3911007952046,995.2283830759485,770.4092029873035,400.05470742501075,0,
3,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 1: ,1,[Mt CO2/a],27.018287425800004,28.07740551050001,27.088435020099997,26.27578196949701,23.146258383817088,13.066878476862044,13.209947831798114,9.235376717062861,20.305089522086035,0,
4,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.468812163,0.5196992520000001,0.5605385745,0.543722417265,0.4933871589692725,0.28735272074156276,0.29049894793487574,0.20309445989112745,0.05085794406139844,0,
5,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 3: Total CO2,3,[Mt CO2/a],1483.2730644253365,1618.9825458504774,1608.813506202643,1560.5491010165638,1394.4200273122692,747.468216246678,755.6522516092925,528.2937752342855,132.2928024883266,0,
6,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],1700.9597226225808,1844.7705753740445,1834.2080345390416,1779.1817935028703,1592.1157002031941,862.1941027675415,871.6342727615504,609.379459400962,152.59789201041264,0,
7,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.468812163,0.5196992520000001,0.5605385745,0.543722417265,0.4933871589692725,0.28735272074156276,0.29049894793487574,0.20309445989112745,0.05085794406139844,0,
8,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
9,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 1: ,1,[Mt CO2/a],1827.8932260816753,1962.7207834746048,1942.556765331152,1885.7584800080294,1728.0725148464355,1014.4579792720666,1008.4383309077466,779.6445797043664,402.367386326809,0,
