,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
0,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],1.8394553593732421,2.7046812829527602,6.352688319985797,7.975483879210511,0.3351994991843363,0.25645197033314415,0.06893810793718226,0.0643938112275273,0.07297454170630324,0,
1,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
2,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],253.41641196029798,285.74190324055627,346.31201268525376,338.5284244028464,235.93172206557318,174.06014617164064,88.08756685220095,46.48879249135413,18.452451687669214,79.59507706128414,
3,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 1: ,1,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0.07297454170630324,0,
4,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
5,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 3: Total CO2,3,[Mt CO2/a],220.66195508279702,252.85227373426403,308.92170141333605,300.045557059159,194.6643552757052,137.44655583344274,56.21430568331096,22.137445592977294,0.23811510152453438,0,
6,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],222.50141044217025,255.55695501721678,315.27438973332187,308.02104093836954,194.99955477488953,137.70300780377588,56.28324379124815,22.201839404204822,0.31108964323083765,0,
7,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
8,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
9,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 1: ,1,[Mt CO2/a],253.41641196029798,285.74190324055627,346.31201268525376,338.5284244028464,235.93172206557318,174.06014617164064,88.08756685220095,46.48879249135413,18.452451687669214,79.59507706128414,
10,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
11,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
12,"Total Energy, Gas, Oil & Coal Sector - ",Coal,Total,Coal - total CO2 emissions,Total,[Mt CO2/a],255.2558673196712,288.44658452350905,346.31201268525376,338.5284244028464,235.93172206557318,174.06014617164064,88.08756685220095,46.48879249135413,18.452451687669214,79.59507706128414,
13,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],21.271456598057767,23.51470467973587,22.79625490746664,20.205375292807936,16.155091773109447,14.258256644042076,12.225261329418103,8.853634206957526,6.452708982687804,1.8296108006138763,
14,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
15,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],260.71603282721355,287.8360030723327,268.635958190341,238.3071174413526,196.2283407541243,169.76355728123917,146.2439020382784,110.20919275911135,84.61768834142556,0,
16,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 1: ,1,[Mt CO2/a],21.271456598057767,23.51470467973587,22.79625490746664,20.205375292807936,16.155091773109447,14.258256644042076,12.225261329418103,8.853634206957526,6.452708982687804,1.8296108006138763,
17,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
18,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 3: Total CO2 ,3,[Mt CO2/a],214.47135361377605,242.2060164314722,228.981666830658,201.58553499069254,162.8317383721443,140.6621609573218,117.4357834721355,79.72125226364514,84.61768834142556,0,
19,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],281.9874894252713,311.3507077520685,291.4322130978077,258.51249273416056,212.38343252723377,184.02181392528126,158.4691633676965,119.06282696606887,91.07039732411337,1.8296108006138763,
20,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
21,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
22,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Production Centric  CO2,Oil Scope 1: ,1,[Mt CO2/a],219.21145765377605,247.08412943397218,233.88675737815802,206.05869850569255,166.3078439110554,143.7301227858067,120.06630388134556,81.62629665079777,53.281086895279195,0.3936789915766195,
23,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
24,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 3: Total CO2,3,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
25,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Total,Oil - total CO2 emissions,Total,[Mt CO2/a],235.7428102118338,265.72072111120804,251.77792173812466,221.79091028350047,178.98683014525375,154.92041760136385,129.6610448015536,88.57488647060266,91.07039732411337,1.8296108006138763,
26,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  GHG,Gas Scope 1: ,1,[Mt CO2 equiv./a],544.2547767678509,563.0491028916969,577.2805968374872,533.7078309295999,525.3751847461565,584.4490671398478,574.7536025949884,518.0712723833166,420.09295968385214,165.6293776389611,
27,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  GHG,Gas Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
28,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  GHG,Gas Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],89.8015970241865,91.00174221921085,92.49235233567727,85.8208022333859,84.91113369173925,94.43906376132853,95.44055927463609,94.25378163627194,85.41516422476425,21.886753061164008,
29,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  CO2,Gas Scope 1: ,1,[Mt CO2/a],11.366266391199998,11.381381844000002,10.5655933096,9.307830929600001,9.61560213073732,10.696793184117883,10.519343368742453,9.481923347806653,7.688689674590396,3.031407349982458,
30,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  CO2,Gas Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
31,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  CO2,Gas Scope 3: Total CO2,3,[Mt CO2/a],71.66517523136918,74.71415948595443,77.0581150902155,70.87477115401755,69.42462198987148,77.23081853993827,75.94963134155871,68.45946153014724,85.41516422476425,21.886753061164008,
32,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  GHG,Gas Scope 1: ,1,[Mt CO2 equiv./a],634.0563737920374,654.0508451109077,669.7729491731645,619.5286331629859,610.2863184378957,678.8881309011763,670.1941618696244,612.3250540195885,505.5081239086164,187.5161307001251,
33,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  GHG,Gas Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
34,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  GHG,Gas Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
35,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  CO2,Gas Scope 1: ,1,[Mt CO2/a],83.03144162256918,86.09554132995443,87.6237083998155,80.18260208361755,79.0402241206088,87.92761172405615,86.46897471030117,77.9413848779539,63.20100881990592,24.918160411146467,
36,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  CO2,Gas Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
37,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  CO2,Gas Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
38,"Total Energy, Gas, Oil & Coal Sector - ",Gas,Total,Gas - total CO2 emissions,Total,[Mt CO2/a],595.6923061503269,616.2209519399156,633.2610799547654,585.6619225799182,572.1385532272698,635.857308459775,623.5602272081367,558.9506421181529,447.8093025039934,162.59797028897864,
39,Energy Industry,Energy Industry - ,OECM  GHG,Energy Industry - Scope 1: Total CO2 equivalent,1,[Mt CO2 equiv./a],567.3656887252819,589.2684888543854,606.4295400649396,561.8886901016184,541.8654760184503,598.963775754223,587.0478020323436,526.9893004015016,426.6186432082462,167.45898843957497,
40,Energy Industry,Energy Industry - ,OECM  GHG,Energy Industry - Scope 2: Total CO2 equivalent,2,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
41,Energy Industry,Energy Industry - ,OECM  GHG,Energy Industry - Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],603.9340418116981,664.5796485320998,707.4403232112721,662.6563440775849,517.0711965114367,438.26276721420834,329.77202816511544,250.9517668867374,188.48530425385903,101.48183012244814,
42,Energy Industry,Energy Industry - ,OECM  CO2,Energy Industry - Scope 1: Total CO2 (energy-only),1,[Mt CO2/a],32.63772298925777,34.896086523735875,33.36184821706664,29.513206222407938,25.77069390384677,24.955049828159957,22.744604698160558,18.33555755476418,14.214373198984504,4.861018150596334,
43,Energy Industry,Energy Industry - ,OECM  CO2,Energy Industry - Scope 2: Total CO2 (energy-only),2,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
44,Energy Industry,Energy Industry - ,OECM  CO2,Energy Industry - Scope 3: Total CO2 (energy-only),3,[Mt CO2/a],506.79848392794224,569.7724496516906,614.9614833342096,572.5058632038691,426.92071563772095,355.3395353307028,249.5997204970052,170.31815938676965,170.27096766771433,21.886753061164008,
45,Energy Industry,Energy Industry - ,Production Centric  GHG,Energy Industry - Scope 1: Total CO2 equivalent,1,[Mt CO2 equiv./a],1138.5452736594789,1220.9585078801929,1276.479552004294,1186.062166835516,1017.6693057400189,1000.6129526302334,884.9465690285691,753.5897203898622,596.8896108759607,189.34574150073897,
46,Energy Industry,Energy Industry - ,Production Centric  GHG,Energy Industry - Scope 2: Total CO2 equivalent,2,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
47,Energy Industry,Energy Industry - ,Production Centric  GHG,Energy Industry - Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
48,Energy Industry,Energy Industry - ,Production Centric  CO2,Energy Industry - Scope 1: Total CO2 (energy-only),1,[Mt CO2/a],555.6593112366431,618.9215740044829,667.8224784632273,624.7697249921565,481.27979009723737,405.7178806815035,294.62284544384767,206.05647402010578,134.93454740285432,104.90691646400722,
49,Energy Industry,Energy Industry - ,Production Centric  CO2,Energy Industry - Scope 2: Total CO2 (energy-only),2,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
50,Energy Industry,Energy Industry - ,Production Centric  CO2,Energy Industry - Scope 3: Total CO2 (energy-only),3,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
