,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
0,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],6.725134999100693,6.086314766120953,4.927028480833778,4.927028480833778,3.6575788185379308,1.2737194126407125,0.7226636733150489,0.05361393213945917,0.039850594988397145,0,
1,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.1473256749,0.14396359569999997,0.48070302639999996,0.48070302639999996,0.2923176643737354,0.10179703630268003,0.057756064213988025,0.004284883579669089,0.003184902753666013,0,
2,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],42.35287026970239,40.035847796302086,31.031465073951587,30.996518075162985,25.05101030879679,8.555049637769581,5.056512065663985,0.07434236374653054,0.07409777701109684,0,
3,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 1: ,1,[Mt CO2/a],0.7066092849,0.4871940407999989,0.5331177849000005,0.5331177849000005,0.39575990384900855,0.13781987956688962,0.0781941606881517,0.005801172218336867,0.039850594988397145,0,
4,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.1473256749,0.14396359569999997,0.48070302639999996,0.48070302639999996,0.2923176643737354,0.10179703630268003,0.057756064213988025,0.004284883579669089,0.003184902753666013,0,
5,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 3: Total CO2,3,[Mt CO2/a],40.44068940215572,38.242802046222195,29.64342401133644,29.64342401133644,23.44927599045287,7.936467208275752,4.455843824078351,0.06430947892174384,0.04780046708305342,0,
6,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],47.165824401256415,44.329116812343145,34.57045249217022,34.57045249217022,27.1068548089908,9.210186620916463,5.1785074973934,0.117923411061203,0.08765106207145057,0,
7,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.1473256749,0.14396359569999997,0.48070302639999996,0.48070302639999996,0.2923176643737354,0.10179703630268003,0.057756064213988025,0.004284883579669089,0.003184902753666013,0,
8,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
9,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 1: ,1,[Mt CO2/a],43.05947955460239,40.523041837102085,31.564582858851587,31.529635860062985,25.4467702126458,8.69286951733647,5.134706226352137,0.08014353596486741,0.07840971898784915,0,
10,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.1473256749,0.14396359569999997,0.48070302639999996,0.48070302639999996,0.2923176643737354,0.10179703630268003,0.057756064213988025,0.004284883579669089,0.003184902753666013,0,
11,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
12,"Total Energy, Gas, Oil & Coal Sector - ",Coal,Total,Coal - total CO2 emissions,Total,[Mt CO2/a],49.07800526880308,46.12216256242304,31.031465073951587,30.996518075162985,25.05101030879679,8.555049637769581,5.056512065663985,0.07434236374653054,0.07409777701109684,0,
13,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],11.783397140546477,11.759511306524313,11.450420506753412,11.450420506753412,9.054303990477475,7.298893080892624,3.4963304622678173,2.525239590909825,1.4511975932337005,1.0834175251819094,
14,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],1.42259116575,1.578366301875,1.57955745225,1.57955745225,1.3132234563076763,1.0586211385205024,0.5071028296467687,0.3662571818957343,0.21047964826186955,0.1571373468949176,
15,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],133.85262643223172,137.47454978406662,134.66349046937324,134.47114563030996,110.36286931445409,87.922860692839,36.02646454193783,23.034993442004343,8.759051093289944,17.393915909067065,
16,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 1: ,1,[Mt CO2/a],11.783397140546477,11.759511306524313,11.450420506753412,11.450420506753412,9.054303990477475,7.298893080892624,3.4963304622678173,2.525239590909825,1.4511975932337005,1.0834175251819094,
17,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],1.42259116575,1.578366301875,1.57955745225,1.57955745225,1.3132234563076763,1.0586211385205024,0.5071028296467687,0.3662571818957343,0.21047964826186955,0.1571373468949176,
18,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 3: Total CO2 ,3,[Mt CO2/a],126.22067604540004,129.57451209652214,127.02384918237902,127.02384918237902,103.29085371428526,80.03897989486283,30.590385003078044,18.018724539890762,8.759051093289944,0.06375980531144662,
19,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],145.63602357277819,149.23406109059093,146.11391097612665,145.92156613706337,119.41717330493157,95.22175377373162,39.52279500420565,25.56023303291417,10.210248686523645,18.477333434248976,
20,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],1.42259116575,1.578366301875,1.57955745225,1.57955745225,1.3132234563076763,1.0586211385205024,0.5071028296467687,0.3662571818957343,0.21047964826186955,0.1571373468949176,
21,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
22,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Production Centric  CO2,Oil Scope 1: ,1,[Mt CO2/a],126.67667612377504,129.91176113227215,127.27788955400402,127.27788955400402,103.50205956462761,80.20923803080892,30.671942398228218,18.077629716442953,4.453787851145203,0.08903221939457381,
23,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],1.42259116575,1.578366301875,1.57955745225,1.57955745225,1.3132234563076763,1.0586211385205024,0.5071028296467687,0.3662571818957343,0.21047964826186955,0.1571373468949176,
24,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 3: Total CO2,3,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
