,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
0,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],49.02240342509997,49.399025757355034,48.186041242239725,47.0777622936682,29.81560508997466,14.976229161551043,9.303913810876718,1.9752261627272873,0.28799909382555217,0,
1,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],4.544411985000001,4.488729816,4.491021243,4.387727754410999,2.77886525599444,1.3958101053880139,0.8671406384606805,0.184094447849381,0.02684200683415981,0,
2,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],498.5694662055683,468.1098020707446,461.19510247421294,450.5556047520796,306.12921315173327,154.01567558965056,97.05156100081366,19.60913949854918,1.1361322983435338,0,
3,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 1: ,1,[Mt CO2/a],19.79876730300001,17.87788383,18.05461295760001,,11.171476139531075,5.611376533648579,3.4860419846857864,0.7400886844488377,0.28799909382555217,0,
4,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],4.544411985000001,4.488729816,4.491021243,4.387727754410999,2.77886525599444,1.3958101053880139,0.8671406384606805,0.184094447849381,0.02684200683415981,0,
5,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 3: Total CO2,3,[Mt CO2/a],483.7022813552181,453.36048830980155,446.50639729256585,436.2367501548368,295.7057701284067,147.55191616291447,91.14650394791263,17.492872048173588,0.8564146871685324,0,
6,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],532.7246847803181,502.7595140671566,494.69243853480555,483.31451244850496,325.52137521838137,162.5281453244655,100.45041775878936,19.468098210900877,1.1444137809940846,0,
7,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],4.544411985000001,4.488729816,4.491021243,4.387727754410999,2.77886525599444,1.3958101053880139,0.8671406384606805,0.184094447849381,0.02684200683415981,0,
8,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
9,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 1: ,1,[Mt CO2/a],478.77069890256826,450.2319182407446,443.14048951661294,432.9162478925044,294.9577370122022,148.40429905600197,93.56551901612788,18.86905081410034,1.0282232019099835,0,
10,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],4.544411985000001,4.488729816,4.491021243,4.387727754410999,2.77886525599444,1.3958101053880139,0.8671406384606805,0.184094447849381,0.02684200683415981,0,
11,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
12,"Total Energy, Gas, Oil & Coal Sector - ",Coal,Total,Coal - total CO2 emissions,Total,[Mt CO2/a],547.5918696306683,517.5088278280996,461.19510247421294,450.5556047520796,306.12921315173327,154.01567558965056,97.05156100081366,19.60913949854918,1.1361322983435338,0,
13,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],41.28534046317454,39.52521140385116,38.126774841514504,37.25001611813899,32.71424643658465,20.392777329390817,10.998338560210561,7.385715605640546,5.3818244622807825,5.373614294000639,
14,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],2.9735041950000003,2.9620186500000005,2.8425218325000006,2.7771438303525,2.4389935974475216,1.5203728882146852,0.8199754007145724,0.5506381786798743,0.401239118606446,0.40062701378819626,
15,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],430.22352528416314,413.49079672568166,396.6502067530179,387.4959404566498,329.59851466565647,196.0213597326167,77.52786666535,31.14690087733358,2.7323928039352383,0,
16,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 1: ,1,[Mt CO2/a],41.28534046317454,39.52521140385116,38.126774841514504,37.25001611813899,32.71424643658465,20.392777329390817,10.998338560210561,7.385715605640546,5.3818244622807825,5.373614294000639,
17,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],2.9735041950000003,2.9620186500000005,2.8425218325000006,2.7771438303525,2.4389935974475216,1.5203728882146852,0.8199754007145724,0.5506381786798743,0.401239118606446,0.40062701378819626,
18,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 3: Total CO2 ,3,[Mt CO2/a],413.93357495174286,397.6080295746734,381.25291577711795,372.4862548410617,314.9548331353998,185.48779137740075,71.41990126577323,26.832233728472726,2.7323928039352383,0,
19,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],471.50886574733767,453.0160081295328,434.77698159453246,424.7459565747888,362.3127611022411,216.4141370620075,88.52620522556056,38.53261648297412,8.11421726621602,5.373614294000639,
20,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],2.9735041950000003,2.9620186500000005,2.8425218325000006,2.7771438303525,2.4389935974475216,1.5203728882146852,0.8199754007145724,0.5506381786798743,0.401239118606446,0.40062701378819626,
21,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
22,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Production Centric  CO2,Oil Scope 1: ,1,[Mt CO2/a],417.1449238192429,400.77283054717344,384.25857051461793,375.4227795195992,317.5338010705213,187.09541877430627,72.28693522119008,27.414473144006763,2.238451721202457,0.4236190794369107,
23,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],2.9735041950000003,2.9620186500000005,2.8425218325000006,2.7771438303525,2.4389935974475216,1.5203728882146852,0.8199754007145724,0.5506381786798743,0.401239118606446,0.40062701378819626,
24,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  CO2,Oil Scope 3: Total CO2,3,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
25,"Total Energy, Gas, Oil & Coal Sector - ",Oil,Total,Oil - total CO2 emissions,Total,[Mt CO2/a],458.1924196099174,440.09525962852456,419.3796906186325,409.7362709592007,347.6690795719844,205.88056870679156,82.41823982598379,34.21794933411327,8.11421726621602,5.373614294000639,
26,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  GHG,Gas Scope 1: ,1,[Mt CO2 equiv./a],598.3420993134475,565.7590971157638,536.9876742788966,524.6369577704816,614.4671019245546,648.3212629464205,506.65231188776977,333.0138857258466,125.55992646732257,2.297966760979063,
27,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  GHG,Gas Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
28,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  GHG,Gas Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],334.17367944809325,315.0050538058534,298.5635592644789,291.6694452627281,306.560418165871,316.03623147538264,253.50948845738836,178.0722713061039,91.2556133852962,1.0077270191155285,
29,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  CO2,Gas Scope 1: ,1,[Mt CO2/a],0.2588107256,0.2463517112,0.24253610080000002,0.2369577704816,0.27753049484941306,0.29282108084121405,0.22883481702178493,0.15040920532238317,0.056710454337733605,0.0010379007278412881,
30,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  CO2,Gas Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
31,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,OECM  CO2,Gas Scope 3: Total CO2,3,[Mt CO2/a],320.6430759375133,302.02057017522594,286.10416503021895,279.5237692345237,290.1533264784189,294.88427799770744,228.63880721195852,147.40727872517297,91.2556133852962,1.0077270191155285,
32,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  GHG,Gas Scope 1: ,1,[Mt CO2 equiv./a],932.5157787615408,880.7641509216171,835.5512335433755,816.3064030332097,921.0275200904257,964.357494421803,760.1618003451581,511.0861570319505,216.81553985261877,3.3056937800945914,
33,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  GHG,Gas Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
34,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  GHG,Gas Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
35,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  CO2,Gas Scope 1: ,1,[Mt CO2/a],320.90188666311326,302.26692188642596,286.34670113101896,279.76072700500526,290.4308569732683,295.1770990785487,228.8676420289803,147.55768793049535,55.31834915263255,1.00876491984337,
36,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  CO2,Gas Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
37,"Total Energy, Gas, Oil & Coal Sector - ",Gas ,Production Centric  CO2,Gas Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,0,0,0,0,0,0,0,
38,"Total Energy, Gas, Oil & Coal Sector - ",Gas,Total,Gas - total CO2 emissions,Total,[Mt CO2/a],854.8004049394906,808.2186958481145,767.0974356322768,749.4541946127338,877.6748592270142,926.1387321790265,723.5621215228268,475.25336759123877,178.60357455253848,2.2969288602512217,
39,Energy Industry,Energy Industry - ,OECM  GHG,Energy Industry - Scope 1: Total CO2 equivalent,1,[Mt CO2 equiv./a],688.649843201722,654.68333427697,623.3004903626509,608.9647361822888,676.9969534511139,683.6902694373623,526.954564258857,342.3748274942144,131.2297500234289,7.671581054979702,
