,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
0,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],143.70172685109443,152.8735722972405,156.1541851684816,154.85725024135178,98.17537421301954,88.28430586732523,56.13075666108427,23.631463763501593,7.30294219251595,0,
1,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],13.667183640000001,14.46852132,14.94224028,15.440314009999998,8.276764413752009,6.64791722415119,4.226715273410426,1.7794783958700302,0.5499205630224677,0,
2,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],643.2844150730077,714.7300148352989,713.0978284781336,688.6375842174212,448.15594670482807,385.04305131851606,251.1595406657355,111.51745757533118,43.55987268640933,0,
3,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 1: ,1,[Mt CO2/a],56.813097629999994,61.49058260000001,65.35224942999999,65.81594353999998,41.06852107351802,36.91742496981855,23.471929434987622,9.881855918164312,7.30294219251595,0,
4,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],13.667183640000001,14.46852132,14.94224028,15.440314009999998,8.276764413752009,6.64791722415119,4.226715273410426,1.7794783958700302,0.5499205630224677,0,
5,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 3: Total CO2,3,[Mt CO2/a],628.522747994087,699.8028456563324,698.748908857866,674.4902500412551,436.6174341052866,370.7051850111279,235.53062761711075,98.88213519874105,30.256152878111777,0,
6,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],772.2244748451815,852.6764179535728,854.9030940263476,829.3475002826069,534.7928083183061,458.9894908784531,291.66138427819504,122.51359896224264,37.55909507062773,0,
7,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],13.667183640000001,14.46852132,14.94224028,15.440314009999998,8.276764413752009,6.64791722415119,4.226715273410426,1.7794783958700302,0.5499205630224677,0,
8,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0,0,0,0,0,0,0,
9,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 1: ,1,[Mt CO2/a],700.0975127030077,776.2205974352989,778.4500779081336,754.4535277574212,489.2244677783461,421.96047628833463,274.6314701007231,121.3993134934955,46.61370901442324,0,
