,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
0,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],63.30339953658304,62.609258350555216,60.144953971286704,59.93444663238721,43.745339028343274,41.15726009255097,33.82841837478613,23.567035979521698,13.744178011553354,0,
1,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
2,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],329.6715983876846,346.5866162212415,331.8627084785546,330.5281834562268,243.98878285619574,229.57616695847486,190.46247037261605,134.97440975102833,83.7245856925146,0,
3,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 1: ,1,[Mt CO2/a],17.153162906700008,16.428143304600006,15.979541129700005,15.923612735746058,11.622428783797895,10.934818085464885,8.987663421118583,6.26138014703065,13.744178011553354,0,
4,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
5,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 3: Total CO2,3,[Mt CO2/a],321.1237830658573,338.61522039485055,323.85538833740134,322.72246291801633,237.20480965919606,222.3954630128578,183.24538017308376,126.58281736362565,73.57288872974421,0,
6,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],384.4271826024403,401.22447874540575,384.00034230868806,382.65690955040355,280.95014868753935,263.55272310540875,217.0737985478699,150.14985334314736,87.31706674129757,0,
7,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
8,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
9,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 1: ,1,[Mt CO2/a],346.8247612943846,363.0147595258415,347.84224960825463,346.4517961919729,255.61121163999363,240.51098504393974,199.45013379373464,141.23578989805898,87.37619141050025,0,
