,Sector,Subsector,Label,Description,Scope,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,Remarks
0,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],111.5856562350692,104.75230953726063,95.14382411608013,91.90893409613335,79.91063769269829,76.6560793003444,29.090116902923217,0,0,0,
1,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],20.31534199,23.241323290000004,14.12648014,13.64617981524,9.462754574502455,9.069795383072378,3.441884980125552,0,0,0,
2,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],1367.7107744476552,1315.5911287384647,1126.4638213497772,1088.3341215436722,452.5277573272812,424.8114104349751,165.4605881190335,0,0,0,
3,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 1: ,1,[Mt CO2/a],21.20752935,21.691438110000004,23.66608479,22.861437907139994,19.87698040128222,19.06744120540671,7.235878729613088,0,0,0,
4,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],20.31534199,23.241323290000004,14.12648014,13.64617981524,9.462754574502455,9.069795383072378,3.441884980125552,0,0,0,
5,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,OECM  CO2,Coal Scope 3: Total CO2,3,[Mt CO2/a],1342.5501340050355,1293.029196476455,1107.186178503939,1069.541848434805,433.85157557864494,414.5249816395421,157.30755192722467,0,0,0,
6,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 1: ,1,[Mt CO2 equiv./a],1454.1357902401046,1397.7815060137154,1202.330002620019,1161.4507825309383,513.7622132713432,491.1810609398865,186.3976688301479,0,0,0,
7,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],20.31534199,23.241323290000004,14.12648014,13.64617981524,9.462754574502455,9.069795383072378,3.441884980125552,0,0,0,
8,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  GHG,Coal Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
9,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 1: ,1,[Mt CO2/a],1388.9183037976552,1337.2825668484647,1150.1299061397772,1111.1955594508122,472.4047377285634,443.87885164038175,172.6964668486466,0,0,0,
10,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 2: Electricity - own sector use,2,[Mt CO2/a],20.31534199,23.241323290000004,14.12648014,13.64617981524,9.462754574502455,9.069795383072378,3.441884980125552,0,0,0,
11,"Total Energy, Gas, Oil & Coal Sector - ",Coal ,Production Centric  CO2,Coal Scope 3: Total CO2 ,3,[Mt CO2/a],0.0,0,0.0,0.0,0,0,0,0,0,0,
12,"Total Energy, Gas, Oil & Coal Sector - ",Coal,Total,Coal - total CO2 emissions,Total,[Mt CO2/a],1479.2964306827243,1420.3434382757252,1126.4638213497772,1088.3341215436722,452.5277573272812,424.8114104349751,165.4605881190335,0,0,0,
13,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],180.7976151510575,185.53129663132992,184.2313538928457,177.96772178187445,158.3839498846974,132.51630010901982,79.78349683282701,42.294161760625585,28.73192946012368,25.905063102636458,
14,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],28.041486,30.579078,29.972396250000003,28.9533347775,25.76731053252407,21.558931053405775,12.979889311756146,6.88079063940644,4.674365989335095,4.21446621211432,
15,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],2037.5090451731928,2082.4824224096174,2048.364625967807,1979.1179308530889,1714.1708939777639,1384.6065310653635,712.2932714478776,239.06498399285695,142.79380972033653,0,
16,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 1: ,1,[Mt CO2/a],180.7976151510575,185.53129663132992,184.2313538928457,177.96772178187445,158.3839498846974,132.51630010901982,79.78349683282701,42.294161760625585,28.73192946012368,25.905063102636458,
17,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 2: Electricity - own sector use,2,[Mt CO2/a],28.041486,30.579078,29.972396250000003,28.9533347775,25.76731053252407,21.558931053405775,12.979889311756146,6.88079063940644,4.674365989335095,4.21446621211432,
18,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,OECM  CO2,Oil Scope 3: Total CO2 ,3,[Mt CO2/a],1990.3250395358316,2037.1461998925067,2003.6567386383072,1935.5356200316694,1671.4018265443808,1341.442044091989,667.2671742639795,187.53934395834648,142.79380972033653,0,
19,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 1: ,1,[Mt CO2 equiv./a],2218.3066603242505,2268.0137190409473,2232.5959798606527,2157.0856526349635,1872.5548438624612,1517.1228311743832,792.0767682807046,281.3591457534825,171.52573918046022,25.905063102636458,
20,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 2: Electricity - own sector use,2,[Mt CO2 equiv./a],28.041486,30.579078,29.972396250000003,28.9533347775,25.76731053252407,21.558931053405775,12.979889311756146,6.88079063940644,4.674365989335095,4.21446621211432,
21,"Total Energy, Gas, Oil & Coal Sector - ",Oil ,Production Centric  GHG,Oil Scope 3: Total CO2 equivalent,3,[Mt CO2 equiv./a],0.0,0,0.0,0.0,0,0,0,0,0,0,
