,Sector,Data,Subsector,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
0,Power Genration,Energy Intensity,Fossil,[PJ/a],737.5053995680345,731.7206623470122,712.4946004319654,712.4946004319654,423.252927154555,207.4014604638711,108.37539666308729,22.137897295039224,0,0
1,Power Genration,Energy Intensity,Nuclear,[PJ/a],0,0,0,0,0,0,0,0,0,0
2,Power Genration,Energy Intensity,Renewables,[PJ/a],137.18370050395967,152.32901367890568,179.12526997840172,179.12526997840172,584.4411143458183,1060.5833485988517,1600.7536891866075,1993.8392538550886,2305.783739560458,2465.0707358859336
3,Power Genration,Carbon Intensity,Sector CO2 Intensity,[tCO2/PJ],141332.10538452928,134457.22205390924,131773.56155892657,131773.56155892657,72556.1085866914,34704.07370862746,17727.999307346177,6331.70057846611,1784.6866641888578,0
4,Power Genration,Carbon Intensity,Electricity Carbon intensity ,[g CO2/kWh],895.6673053102817,848.7113417976375,818.9631918641195,818.9631918641195,318.22947435431195,93.51281440210627,29.189819510941465,5.419204963074811,0,0
5,Aviation,Quantity of Service,Quantity: Passenger (domestic & international),[million p km/a],20095.71018072289,20604.32725817556,19164.686220309814,19164.686220309814,19433.87463028614,18481.42140440616,16705.741161867387,14345.788360232575,12319.216590422719,10578.930456163927
6,Aviation,Quantity of Service,Quantity: Freight (domestic  & international),[Mton km/a],402.8850108695651,413.0819232919253,384.219554658385,384.219554658385,391.17479243744054,376.7241294523518,340.5287752683561,292.423646052886,251.11413478486668,215.64025187398093
7,Aviation,Energy Intensity,Energy Intensity,[MJ/pkm],5.81,5.81,5.81,5.81,4.833919999999999,4.50856,4.39236,4.27616,4.229679999999999,4.183199999999999
8,Aviation,Energy Intensity,Energy Intensity,[MJ/tkm],32.2,32.2,32.2,32.2,29.119999999999997,27.16,26.46,25.759999999999998,25.48,25.2
9,Aviation,Carbon Intensity,Emission Intensity,[g CO2/pkm],425.87299999999993,425.87299999999993,425.87299999999993,425.78804067714526,347.2398092799999,302.38686492,128.78399520000002,31.344252799999992,6.200710880000088,0
10,Aviation,Carbon Intensity,Emission Intensity,[gCO2/tkm],2360.26,2360.26,2360.26,2359.7891411022515,2091.80608,1821.60762,775.8072000000002,188.82079999999974,37.35368000000017,0
11,Shipping,Quantity of Service,Quantity: Passenger,[million p km/a],629.7354388888889,645.642085925926,843.3705855555555,843.3705855555555,860.3734773979083,904.2611715846868,931.7164998247725,979.2434051598308,1029.1946603171282,1081.6939315025572
12,Shipping,Quantity of Service,Quantity: Freight ,[Mton km/a],118892.15692105264,121895.28404210528,159225.83009999996,159225.83009999996,169125.8905771901,177753.01072873967,182241.49699693723,186843.32316805518,191561.35121667164,196398.5153858093
13,Shipping,Energy Intensity,Energy Intensity,[MJ/pkm],0.056,0.056,0.056,0.056,0.0548856,0.054336744,0.05379337656,0.053255442794400004,0.05272288836645601,0.052195659482791444
14,Shipping,Energy Intensity,Energy Intensity,[MJ/tkm],0.19,0.19,0.19,0.19,0.18560000000000001,0.1824,0.17920000000000003,0.17600000000000002,0.1736,0.17120000000000002
15,Shipping,Carbon Intensity,Emission Intensity,[g CO2/pkm],0.12830199531520003,0.1675946027616,0.1675946027616,0.1675946027616,0.16986706937988216,0.12932463388152554,0.13409754400216253,0.04576055610810392,0,0
16,Shipping,Carbon Intensity,Emission Intensity,[g CO2/tkm],15.447,15.447,15.447,15.447,14.75731584,10.676966399999998,10.781030399999999,3.5772000000000013,0,0
17,Road,Quantity of Service,Quantity: Passenger,[million person km/a],323268.565256,326615.72412,326418.5695960001,293776.71263640013,313556.3755438251,269261.5286546499,237245.17328497395,214450.84607270767,193846.57965647604,175221.95474003645
