,Sector,Data,Subsector,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
0,Power Genration,Energy Intensity,Fossil,[PJ/a],412.70698344132467,408.8768898488121,400.4463642908567,390.0347588192945,231.5401834598555,121.77819462415702,99.78333056797791,5.446443411314205,0.0,0.0
1,Power Genration,Energy Intensity,Nuclear,[PJ/a],364.6472282217423,362.6025917926566,364.2800575953924,354.8087760979122,351.6273608301678,250.36151315795559,0.0,0.0,0.0,0.0
2,Power Genration,Energy Intensity,Renewables,[PJ/a],1587.4226061915047,1559.2980561555073,1537.8941684665224,1497.908920086393,2103.597765169812,2769.3476551883005,4228.822059445493,4819.581641093658,5233.673328126099,5488.01029265719
3,Power Genration,Carbon Intensity,Sector CO2 Intensity,[tCO2/PJ],56216.99079257655,55012.1452961164,54825.781467508976,51678.90765602005,33987.545185415984,21078.2912706848,13283.056691577673,5529.312257654299,1572.044994468684,0.0
4,Power Genration,Carbon Intensity,Electricity Carbon intensity ,[g CO2/kWh],187.86027208732406,174.64949163343567,171.3374487792188,171.3436420833575,67.06324086415967,22.354648957305542,10.631128551100636,0.6457394737156265,0.0,0.0
5,Aviation,Quantity of Service,Quantity: Passenger (domestic & international),[million p km/a],40853.06008605852,43899.58381755595,44977.6935232358,43808.27349163168,44423.60730662119,42246.40852926169,38187.40725970853,32792.82596717491,28160.315456871605,24182.221057261286
6,Aviation,Quantity of Service,Quantity: Freight (domestic  & international),[Mton km/a],819.0347795031054,880.1124291925463,901.7267059006207,878.2818115472047,894.1806869747237,861.1481296498205,778.4097035158952,668.446898344148,574.0180959817488,492.9288703870561
7,Aviation,Energy Intensity,Energy Intensity,[MJ/pkm],5.81,5.81,5.81,5.81,4.833919999999999,4.50856,4.39236,4.27616,4.229679999999999,4.183199999999999
8,Aviation,Energy Intensity,Energy Intensity,[MJ/tkm],32.2,32.2,32.2,32.2,29.119999999999997,27.16,26.46,25.759999999999998,25.48,25.2
9,Aviation,Carbon Intensity,Emission Intensity,[g CO2/pkm],425.87299999999993,425.87299999999993,425.87299999999993,424.9756559472163,347.2398092799999,302.38686492,128.78399520000002,31.344252799999992,6.200710880000088,0.0
10,Aviation,Carbon Intensity,Emission Intensity,[gCO2/tkm],2360.26,2360.26,2360.26,2355.2867679002356,2091.80608,1821.60762,775.8072,188.82079999999996,37.35368000000017,0.0
11,Shipping,Quantity of Service,Quantity: Passenger,[million p km/a],1186.0333074074074,1241.8933774074073,1376.0444651851851,1340.2673090903706,1367.2879575296251,1437.0333847443378,1480.6648316204378,1556.1936188627042,1635.575133326191,1719.0059028194742
12,Shipping,Quantity of Service,Quantity: Freight ,[Mton km/a],223919.5214210526,234465.7346368421,259793.05654736835,253038.43707713686,268771.41098309186,282481.45412278705,289614.4648248421,296927.5929857004,304425.38679690694,312112.50929754274
13,Shipping,Energy Intensity,Energy Intensity,[MJ/pkm],0.056,0.056,0.056,0.056,0.0548856,0.054336744,0.05379337656,0.053255442794400004,0.05272288836645601,0.052195659482791444
14,Shipping,Energy Intensity,Energy Intensity,[MJ/tkm],0.19,0.19,0.19,0.19,0.18560000000000001,0.1824,0.17920000000000003,0.17600000000000002,0.1736,0.17120000000000002
15,Shipping,Carbon Intensity,Emission Intensity,[g CO2/pkm],0.2467890519584,0.2734475561216,0.2734475561216,0.26633791966243847,0.26994927719807793,0.19267506259271522,0.19438638875697364,0.03781530538640369,0.0,0.0
