,Sector,Data,Subsector,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
0,Power Genration,Energy Intensity,Fossil,[PJ/a],17281.606090712743,18027.140259179265,18484.532372210226,17856.058271555077,15218.90796931539,11212.63089869655,7751.885611830483,3011.3943757541615,1029.9436154780817,0.0
1,Power Genration,Energy Intensity,Nuclear,[PJ/a],892.9805615550756,1059.6076313894887,1253.9776817854572,1211.3424406047516,1304.3746091958055,1346.096195871912,1360.4242082348585,1314.4613365325731,1287.2822258450633,579.3988116740868
2,Power Genration,Energy Intensity,Renewables,[PJ/a],5993.003884089274,6630.1126277897765,7292.689762419006,7146.876539438444,15790.890100259854,28809.327742417365,42868.640957239055,59394.33736135634,74985.76771922734,86302.23817213558
3,Power Genration,Carbon Intensity,Sector CO2 Intensity,[tCO2/PJ],144545.93983796396,142696.03255443036,138527.5556038061,138552.00667791982,99694.71842590079,61070.92333964052,35705.6764615464,16529.70440227293,5351.749257719683,0.0
4,Power Genration,Carbon Intensity,Electricity Carbon intensity ,[g CO2/kWh],622.3341313341288,626.912135296881,615.3487373835985,612.9894028339819,442.6650188471665,239.45465886123006,122.98313057980519,41.229835981408655,12.255168423929101,0.0
5,Aviation,Quantity of Service,Quantity: Passenger (domestic & international),[million p km/a],149997.70200516353,163886.63627710845,176887.81702409644,170873.63124527712,173273.73321266816,164781.59619427455,148949.51172990448,127908.01383387022,109838.96363885066,94322.45542430614
6,Aviation,Quantity of Service,Quantity: Freight (domestic  & international),[Mton km/a],3007.20030590062,3285.6499543478253,3546.301645652173,3425.7273896999986,3487.740757506776,3358.8976744644324,3036.177462271556,2607.268894916063,2238.950514213661,1922.662988413782
7,Aviation,Energy Intensity,Energy Intensity,[MJ/pkm],5.81,5.81,5.81,5.81,4.833919999999999,4.50856,4.39236,4.27616,4.229679999999999,4.183199999999999
8,Aviation,Energy Intensity,Energy Intensity,[MJ/tkm],32.2,32.2,32.2,32.2,29.119999999999997,27.16,26.46,25.759999999999998,25.48,25.2
9,Aviation,Carbon Intensity,Emission Intensity,[g CO2/pkm],425.87299999999993,425.87299999999993,425.87299999999993,425.8618355706728,347.2398092799999,302.38686492,128.7839952,31.344252799999992,6.200710880000088,0.0
10,Aviation,Carbon Intensity,Emission Intensity,[gCO2/tkm],2360.26,2360.26,2360.26,2360.198124849512,2091.80608,1821.60762,775.8072,188.82079999999996,37.35368000000017,0.0
11,Shipping,Quantity of Service,Quantity: Passenger,[million p km/a],26399.516266666662,25884.712534074075,26393.26842962963,25495.897303022222,26009.91094268628,27336.677802969243,28166.678565645685,29603.462250429864,31113.53634295775,32700.63939060019
12,Shipping,Quantity of Service,Quantity: Freight ,[Mton km/a],4984149.274105262,4886955.877673684,4982969.701263158,4813548.731420211,5112837.003436334,5373643.075134755,5509334.296645175,5648451.891537217,5791082.380032456,5937314.467096475
13,Shipping,Energy Intensity,Energy Intensity,[MJ/pkm],0.056,0.056,0.056,0.056,0.0548856,0.054336744,0.05379337656,0.053255442794400004,0.05272288836645601,0.052195659482791444
14,Shipping,Energy Intensity,Energy Intensity,[MJ/tkm],0.19,0.19,0.19,0.19,0.18560000000000001,0.1824,0.17920000000000003,0.17600000000000002,0.1736,0.17120000000000002
15,Shipping,Carbon Intensity,Emission Intensity,[g CO2/pkm],5.1438100747712,5.2448703023359995,5.2448703023359995,5.066544712056575,5.135243545661383,3.963907144482856,3.944331897565949,0.7193603366096595,0.0,0.0
16,Shipping,Carbon Intensity,Emission Intensity,[g CO2/tkm],15.447,15.447,15.447,15.447,14.75731584,10.8252576,10.4896512,1.8601439999999982,0.0,0.0
17,Road,Quantity of Service,Quantity: Passenger,[million person km/a],2966900.6400039997,3056488.0764879994,3063530.6598960003,2959370.6174595365,3158621.785825408,2712416.0018055756,2389898.057789947,2160278.5566682606,1952720.7142535276,1765104.8639559133
18,Road,Quantity of Service,Quantity: Freight,[Mton km/a],2112174.1623189375,2175952.593607974,2180966.297980067,2106813.443848745,3097598.001420998,2945784.877941495,2801412.1080682473,2664115.0404422865,2287766.233606923,1964582.7076457993
19,Road,Energy Intensity,Road-Passenger: Energy Intensity,[MJ/pkm],2.38013619371892,2.376648015601434,2.352935315607872,2.3529353156078723,1.55993224,1.3420030440000001,1.20224455,0.9110263000000002,0.5416340000000001,0.5095120000000001
20,Road,Energy Intensity,Road Freight: Energy Intensity,[MJ/tkm],1.3222645475541586,1.3205864125495939,1.3183281208480293,1.318328120848029,1.0903217,0.9930924999999999,0.9266706499999998,0.79012,0.6386651999999999,0.6213328
21,Road,Carbon Intensity,Road Passenger: Emission Intensity,[g CO2/pkm],161.3667256123795,160.78027363842236,158.71167680334025,158.71167680334028,101.64833256,84.173310036,72.20971095,45.59925720000001,11.806590000000007,9.830016
22,Road,Carbon Intensity,Road Freight: Emission Intensity,[g CO2/tkm],88.85356858659185,88.52908356876632,87.89397887691295,87.89397887691294,68.20790560874654,58.354372208865364,50.51155962043147,33.266489046544535,2.9893668745123136,0.0
23,Chemical Industries,Market ,Total Chemical Industry,[bn $ GDP],1366.5838090475984,1458.8251253648727,1500.0000000000002,1500.0000000000002,1910.7024532135415,1987.6613020235318,2047.848429299758,2109.283882178751,2131.570655273469,2184.8599216553057
24,Chemical Industries,Energy Intensity,Energy Intensity,[MJ/$GDP],4.872183207992627,4.798904691586266,4.656452405865338,4.821818048620862,4.585033126143599,4.493332463620726,4.403465814348312,4.315396498061346,4.229088568100119,4.144506796738116
25,Chemical Industries,Carbon Intensity,Emission intensity (energy only),[kg/$GDP],0.570586815419877,0.5564569083747476,0.5290265199883903,0.5419902806866373,0.38350862625789783,0.23117790510209904,0.1436232428157051,0.06601100444369637,0.028664186718913544,0.0
26,Residential & Commercial Buildings and Construction,Stock,Building Stock: Residential,[billion m2],52.87603814173361,52.87603814173361,52.87603814173361,52.87603814173361,52.91065135270383,52.917973723568984,62.61545311816738,70.25816306065916,69.57459779823887,68.65229058831984
27,Residential & Commercial Buildings and Construction,Stock,Building Stock: Commercial,[billion m2],16.287519691,16.287519691,16.287519691,16.287519691,16.997647624364866,20.662793278083306,24.4493519451967,28.218304985110798,31.756512758709015,34.83816732417267
28,Residential & Commercial Buildings and Construction,Energy Intensity,Residential Buildings: Energy Intensity,[kWh/m2],39.604473342304004,39.50570906962994,39.40719109190019,39.30891879491291,39.23511510673693,38.974795685934765,33.84345612665504,28.712116567375304,22.87220799021701,17.032299413058734
29,Residential & Commercial Buildings and Construction,Energy Intensity,Commercial Buildings: Energy Intensity,[kWh/m2],66.7135953091021,66.5472272409996,66.38127405585996,66.2157347190623,65.84148135470402,64.69059324787212,51.23306228794813,37.775531328024115,28.84607403364818,19.916616739272243
30,Residential & Commercial Buildings and Construction,Energy Intensity,Construction: Residential and Commercial Building - Energy Intensity,[MJ/$GDP],0.7,0.7,0.7,0.7,0.6690551209649999,0.6356023649167498,0.6038222466709123,0.5736311343373667,0.51626802090363,0.46464121881326703
31,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Total Emission Intensity (Heating & Electricity),[kg CO2/kWh],0.7363104916417701,0.7329939141311214,0.7155796669245268,0.7156013825174058,0.5220831030335942,0.2814435085789637,0.14631986808727232,0.05365479988243974,0.013434442437589096,0.0
32,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Heat per square metre,[kg CO2/m2],4.513973723456817,4.190835892214323,3.9498193937381436,4.033565976760965,3.1159776746110146,1.636506838836089,0.7897958519732289,0.35674701187183483,0.02697260051788943,0.0
33,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Heat,[kg CO2/kWh],0.11397636030764133,0.10608177883424028,0.10023092954092826,0.10261197968342392,0.0794180841864277,0.04198884971773366,0.023336737507467127,0.012424963901031089,0.0011792740136599953,0.0
34,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Electricity,[kg CO2/kWh],0.6223341313341287,0.6269121352968811,0.6153487373835985,0.6129894028339818,0.44266501884716647,0.23945465886123005,0.12298313057980519,0.041229835981408655,0.0122551684239291,0.0
35,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Total Emission Intensity (Heating & Electricity),[kg CO2/kWh],18.008081318910744,16.719570049107077,15.758604708632047,16.09332574593061,12.785073651645842,7.00176852122086,3.2505313702000693,1.3577565351649084,0.10559009855296098,0.0
