,Sector,Data,Subsector,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
0,Textile & Leather Industries,Total Utilities Sector,,,2017.0,2018.0,2019.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
1,Textile & Leather Industries,Energy Intensity,Fossil,[PJ/a],3930.269114470843,3633.6978761699065,3372.3729661627067,3217.2438097192226,2684.6780911778587,1646.6889757645151,950.1238960027124,684.887082551343,225.70400944343058,0.0
2,Textile & Leather Industries,Energy Intensity,Nuclear,[PJ/a],2694.2211663066955,2704.071454283657,2715.2586753059754,2590.3567762419007,2134.34392746215,1445.697096826841,356.5522871211895,295.30901706196886,146.44484817804425,150.70282277790176
3,Textile & Leather Industries,Energy Intensity,Renewables,[PJ/a],3236.9209143268536,3509.935169186465,3649.0150467962567,3511.5779212383004,7691.295731311082,11485.625644655584,18635.37867717897,21452.788747445218,23791.22216498213,25894.13166622173
4,Textile & Leather Industries,Carbon Intensity,Sector CO2 Intensity,[tCO2/PJ],69023.5566471628,66589.98220601394,61920.85095966586,61888.424286017136,47072.995070016164,31832.118323866704,16913.660254587827,10732.610317174638,3523.284068079543,0.0
5,Textile & Leather Industries,Carbon Intensity,Electricity Carbon intensity ,[g CO2/kWh],335.20647923758145,314.9011390225955,279.6842082724333,278.7686493365486,162.40750056037402,79.70719539423777,28.814992366706687,14.43641676381404,4.3792068528139385,0.0
6,Textile & Leather Industries,Total Transport Sector,,,2017.0,2018.0,2019.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
7,Textile & Leather Industries,Quantity of Service,Quantity: Passenger (domestic & international),[million p km/a],39282.062994836495,40993.336316695364,42594.65938037867,40635.30504888124,41206.07114592378,39186.563655245,35421.54984310298,30417.69009330102,26120.70546631539,22430.73855921301
8,Textile & Leather Industries,Quantity of Service,Quantity: Freight (domestic  & international),[Mton km/a],787.5389440993787,821.8470807453414,853.9509006211177,814.6691591925462,829.4165025922993,798.7764445288719,722.0306402036088,620.0322783407931,532.4428144435321,457.22676150213243
9,Textile & Leather Industries,Energy Intensity,Energy Intensity,[MJ/pkm],5.81,5.81,5.81,5.81,4.833919999999999,4.50856,4.39236,4.27616,4.229679999999999,4.183199999999999
10,Textile & Leather Industries,Energy Intensity,Energy Intensity,[MJ/tkm],32.2,32.2,32.2,32.2,29.119999999999997,27.16,26.46,25.759999999999998,25.48,25.2
11,Textile & Leather Industries,Carbon Intensity,Emission Intensity,[g CO2/pkm],425.87299999999993,425.87299999999993,425.87299999999993,425.86719205356724,347.2398092799999,280.9058308,199.61519256000003,125.37701119999997,62.0071088,0.0
12,Textile & Leather Industries,Carbon Intensity,Emission Intensity,[gCO2/tkm],2360.26,2360.26,2360.26,2360.2278113812167,2091.80608,1692.2038,1202.5011599999998,755.2831999999999,373.53679999999986,0.0
13,Textile & Leather Industries,Quantity of Service,Quantity: Passenger,[million p km/a],4595.712333333333,4446.449518518519,4524.439370370371,4316.315159333334,4403.3348409165,4627.949171758726,4768.46373500863,5011.703309031453,5267.350545911482,5536.038361152689
14,Textile & Leather Industries,Quantity of Service,Quantity: Freight ,[Mton km/a],867656.6668421051,839476.2963157893,854200.5457894736,814907.3206831579,865575.1787373534,909728.2119700622,932699.9893283141,956251.832851442,980398.3899370065,1005154.6778477113
15,Textile & Leather Industries,Energy Intensity,Energy Intensity,[MJ/pkm],0.056,0.056,0.056,0.056,0.0548856,0.054336744,0.05379337656,0.053255442794400004,0.05272288836645601,0.052195659482791444
