,Sector,Data,Subsector,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
0,Power Genration,Energy Intensity,Fossil,[PJ/a],189.2251115910727,137.0370914326854,150.36230381569473,147.39264831533478,187.01273959895082,83.12501020334822,65.72109593360246,4.215864525787173,0.0,0.0
1,Power Genration,Energy Intensity,Nuclear,[PJ/a],1433.978146148308,1486.4716054715623,1436.3268070554357,1407.9593526160907,997.6200494838919,402.4617973595181,0.0,0.0,0.0,0.0
2,Power Genration,Energy Intensity,Renewables,[PJ/a],322.769233261339,397.5744492440605,394.76406767458604,386.967477338013,862.4085422378455,1818.0310177892063,2883.3433035478597,3300.2967482575286,3525.870957123095,3725.4740934833635
3,Power Genration,Carbon Intensity,Sector CO2 Intensity,[tCO2/PJ],34599.821512471586,30918.645329613104,31347.83154715411,31347.831547154103,31176.409282536937,22221.52741235277,13905.9441090594,5702.861414344013,1961.0843636270433,0.0
4,Power Genration,Carbon Intensity,Electricity Carbon intensity ,[g CO2/kWh],68.97359149525049,50.7975849231604,50.599505991889075,50.599505991889075,52.11600000595528,22.706205655194925,13.634146834406916,1.84242914818354,0.11588183765019824,0.0
5,Aviation,Quantity of Service,Quantity: Passenger (domestic & international),[million p km/a],3652.0100086058524,3915.503426850258,4032.797018932875,1345.6734784853702,4355.12250694342,4141.678170198736,3743.749031695206,3214.884677198101,2760.73086101157,2370.7335261506923
6,Aviation,Quantity of Service,Quantity: Freight (domestic  & international),[Mton km/a],73.21662577639749,78.49922329192545,80.8507614906832,26.978477950310552,27.466849056846893,26.452176877922494,23.91067280058623,20.532908311242906,17.632307013442606,15.141461984031912
7,Aviation,Energy Intensity,Energy Intensity,[MJ/pkm],5.81,5.81,5.81,5.81,4.833919999999999,4.50856,4.39236,4.27616,4.229679999999999,4.183199999999999
8,Aviation,Energy Intensity,Energy Intensity,[MJ/tkm],32.2,32.2,32.2,32.2,29.119999999999997,27.16,26.46,25.759999999999998,25.48,25.2
9,Aviation,Carbon Intensity,Emission Intensity,[g CO2/pkm],425.87299999999993,425.87299999999993,425.87299999999993,425.87299999999993,347.2398092799999,302.38686492,160.97999399999998,84.62948256000004,46.50533159999998,0.0
10,Aviation,Carbon Intensity,Emission Intensity,[gCO2/tkm],2360.26,2360.26,2360.26,2360.26,2091.80608,1821.60762,969.7589999999999,509.81616000000054,280.15259999999967,0.0
11,Shipping,Quantity of Service,Quantity: Passenger,[million p km/a],506.6071551851852,510.760695925926,540.5221292592591,529.8468172063889,540.5288688219791,568.1012735010846,585.3500589490421,615.2087947820706,646.5906262258646,679.5732464638363
12,Shipping,Quantity of Service,Quantity: Freight ,[Mton km/a],95645.90726842106,96430.08326842106,102048.9523736842,100033.48556430393,106253.18971788733,111673.17024868156,114493.05773825113,117384.15092061264,120348.24782873895,123387.19189818866
13,Shipping,Energy Intensity,Energy Intensity,[MJ/pkm],0.056,0.056,0.056,0.056,0.0548856,0.054336744,0.05379337656,0.053255442794400004,0.05272288836645601,0.052195659482791444
14,Shipping,Energy Intensity,Energy Intensity,[MJ/tkm],0.19,0.19,0.19,0.19,0.18560000000000001,0.1824,0.17920000000000003,0.17600000000000002,0.1736,0.17120000000000002
15,Shipping,Carbon Intensity,Emission Intensity,[g CO2/pkm],0.10067368640000002,0.1065809108672,0.1065809108672,0.1044759378775728,0.1067188346387717,0.07617008038424695,0.07684661760572838,0.02529914508759085,0.013995871997700504,0.0
16,Shipping,Carbon Intensity,Emission Intensity,[g CO2/tkm],15.19598476622464,15.207801786299427,15.207801786299427,15.207801786299427,14.75731584,10.009655999999998,9.834048000000003,3.1479360000000014,1.693641600000003,0.0
17,Road,Quantity of Service,Quantity: Passenger,[million person km/a],504175.84918399993,492711.76880799996,492507.2896799999,482780.27070881997,515285.33527734707,442493.0503468904,389878.7210020982,352419.4841435814,318559.30091491103,287952.3771110573
18,Road,Quantity of Service,Quantity: Freight,[Mton km/a],358929.175973422,350767.7518803987,350622.1805980067,343697.39253119606,505330.1512322583,480563.94573633984,457011.53073594265,434613.4184194495,373217.3304225723,320494.4206147826
19,Road,Energy Intensity,Road-Passenger: Energy Intensity,[MJ/pkm],2.4193314735085916,2.416824705513812,2.4143083504189646,2.4155924047094466,1.7701615564527284,1.6144340239999997,0.986511388,0.9039347520000001,0.5919090000000001,0.4488320000000001
20,Road,Energy Intensity,Road Freight: Energy Intensity,[MJ/tkm],1.3354072114574715,1.3353147433233008,1.3351705529008973,1.3356972191597536,1.1749504,1.10829655,0.81423165,0.7100800000000002,0.654312,0.5703808
21,Road,Carbon Intensity,Road Passenger: Emission Intensity,[g CO2/pkm],166.8696448138979,166.67853907831417,166.47560988382858,166.6758759249518,120.73244339523826,109.03697565599998,50.16068077199999,43.54070788800001,14.971206000000002,2.6981760000000072
22,Road,Carbon Intensity,Road Freight: Emission Intensity,[g CO2/tkm],85.41852916342732,85.24913688805003,85.0961334303353,85.18680229279603,76.00132561393214,71.1545547264326,37.615353844050894,31.257276122220652,13.054370548851253,0.0
23,Chemical Industries,Market ,Total Chemical Industry,[bn $ GDP],19.457455312105253,19.8203497093763,20.185633168047303,18.6,19.750556306055596,21.029764287503507,22.432704302722204,23.929237411015723,25.525607405401782,27.228474615524565
24,Chemical Industries,Energy Intensity,Energy Intensity,[MJ/$GDP],9.9762781368194,10.23009684972442,10.188317619880777,10.864149226329095,10.227337230879188,10.022790486261604,9.822334676536371,9.625887983005644,9.43337022334553,9.24470281887862
25,Chemical Industries,Carbon Intensity,Emission intensity (energy only),[kg/$GDP],0.4524553634893892,0.4352888370445936,0.39318207654659554,0.42991868461654614,0.33736759516670206,0.21975857988806907,0.12549792277648214,0.03890862123299218,0.011573436300197911,0.0
26,Residential & Commercial Buildings and Construction,Stock,Building Stock: Residential,[billion m2],2.619,2.619,2.619,2.619,2.627065835441516,2.66486107972185,2.9476634188603854,3.210178327229524,3.237759145309266,3.25537029999473
27,Residential & Commercial Buildings and Construction,Stock,Building Stock: Commercial,[billion m2],0.989868252,0.989868252,0.989868252,0.989868252,1.009338840152603,1.1134909094326848,1.231657607199131,1.3671760619452273,1.523759374048364,1.7057521816434495
28,Residential & Commercial Buildings and Construction,Energy Intensity,Residential Buildings: Energy Intensity,[kWh/m2],100.65150660027395,100.40050533693163,100.15013001190188,99.90037906424128,97.1997207830499,91.73109882758718,81.48325001360409,71.23540119962098,56.605222777300746,41.97504435498052
29,Residential & Commercial Buildings and Construction,Energy Intensity,Commercial Buildings: Energy Intensity,[kWh/m2],100.90370476315944,100.65207457671765,100.40107189697522,100.15069515907754,95.06075301596044,86.19593285609123,72.03005106858754,57.86416928108385,43.445287764710194,29.026406248336567
30,Residential & Commercial Buildings and Construction,Energy Intensity,Construction: Residential and Commercial Building - Energy Intensity,[MJ/$GDP],0.7,0.7,0.7,0.7,0.6690551209649999,0.6657098453601749,0.6623812961333739,0.659069389652707,0.6458880018596529,0.6329702418224599
31,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Total Emission Intensity (Heating & Electricity),[kg CO2/kWh],0.19099434181496316,0.17181977349074457,0.17057803974059912,0.17057803974059915,0.1387330832926993,0.09202361357932848,0.047952349879983154,0.02181542178966669,0.009147177518288722,0.0
32,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Heat per square metre,[kg CO2/m2],12.28157235617494,12.15068888916688,12.015865753570669,11.985901001068001,8.419156310513694,6.35856199676087,2.7963587187803176,1.4227841439731297,0.5112185039702176,0.0
33,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Heat,[kg CO2/kWh],0.12202075031971268,0.12102218856758416,0.11997853374871005,0.11997853374871006,0.086617083286744,0.06931740792413356,0.034318203045576236,0.01997299264148315,0.009031295680638525,0.0
34,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Electricity,[kg CO2/kWh],0.0689735914952505,0.0507975849231604,0.050599505991889074,0.050599505991889074,0.05211600000595528,0.022706205655194926,0.013634146834406917,0.00184242914818354,0.00011588183765019824,0.0
35,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Total Emission Intensity (Heating & Electricity),[kg CO2/kWh],29.013521869638122,28.705031921322526,28.387221162408775,28.31712821664736,20.039519490445144,15.342959196512627,6.683360322668236,3.313318383349208,1.2041956062424901,0.0
36,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Emission Intensity - Heat per square metre,[kg CO2/m2],28.728806785558792,28.42264681466483,28.107271250328452,28.03717830456704,19.83090651520524,15.166999622551366,6.591845114546699,3.257030858632301,1.1771017192005746,0.0
37,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Emission Intensity - Heat,[kg CO2/kWh],0.2847150840793296,0.28238510665769645,0.2799499120803235,0.2799499120803235,0.20861297523990457,0.17595957396126208,0.09151520812153661,0.05628752471690705,0.027093887041915572,0.0
38,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Emission Intensity - Electricity,[kg CO2/kWh],0.0689735914952505,0.0507975849231604,0.050599505991889074,0.050599505991889074,0.05211600000595528,0.022706205655194926,0.013634146834406917,0.00184242914818354,0.00011588183765019824,0.0
39,Total Materials / Steel,Market Development,Regional: Minning iron ore - production volume in mega tonnes per year,[Mt/a],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Total Materials / Steel,Market Development,Annual production volume- Iron & Steel Industry,[Mt/a],19.12,19.12,19.12,11.595698,11.947059245098002,12.61876333713207,13.46058770502368,14.358571955420638,15.468259886197446,16.66370894332685
41,Total Materials / Steel,Energy Intensity,Average Energy Intensity in  steel production ,[GJ/ton],10.331995802767032,10.331995802767032,10.331995802767032,10.331995802767032,10.224097083789248,9.849828940601844,11.120868237666313,10.301181358482111,10.591110131185998,10.51016558704769
42,Total Materials / Steel,Energy Intensity,Energy Intensity - PRIMARY steel (FINAL ENERGY),[GJ/ton],13.556298311949277,13.556298311949277,13.556298311949277,13.556298311949277,13.592510372475878,13.592510372475878,12.712009273218012,11.073254513616563,10.708646256945187,10.300292404891756
