,Sector,Data,Subsector,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
0,Power Genration,Energy Intensity,Fossil,[PJ/a],55464.64953563715,57426.1593412527,58804.387165442764,56981.451163314036,44189.445882294385,30240.302661688685,18703.537107361266,10726.62675382445,4219.698971227472,0.0
1,Power Genration,Energy Intensity,Nuclear,[PJ/a],9449.92526637869,9718.062494600432,9951.295994470842,9642.805818642246,7826.070894272556,5994.052101804803,3374.75709562463,1052.613290006822,594.1198475210301,0.0
2,Power Genration,Energy Intensity,Renewables,[PJ/a],22078.367670986325,23643.105003599714,24216.961409935207,23568.25504467214,62916.78179421064,114136.9058777843,180559.48816819213,235627.9695750159,284226.8476890181,331203.8945419784
3,Power Genration,Carbon Intensity,Sector CO2 Intensity,[tCO2/PJ],84244.23801167577,84239.90074880325,84237.52073277182,84189.5993962856,62732.987793931024,42463.75712437763,24893.220876569525,14278.539851939524,5539.966221601172,0.0
4,Power Genration,Carbon Intensity,Electricity Carbon intensity ,[g CO2/kWh],454.8046458303613,456.15927066622316,456.1298648849915,455.58720507130477,272.9227593728412,132.23106883551563,52.86410430860665,22.71671611292457,7.180809562227558,0.0
5,Aviation,Quantity of Service,Quantity: Passenger (domestic & international),[million p km/a],4210127.03028397,4342164.020425955,4474201.01056794,4237738.960653131,4297262.513483546,4265033.044632419,4094431.7228471222,3889710.1367047657,3695224.629869527,3510463.398376051
6,Aviation,Quantity of Service,Quantity: Freight (domestic  & international),[Mton km/a],212866.64717206242,221165.7007793349,221495.75918843618,180530.79650355168,183798.8098071455,182420.3187335919,175123.50598424822,166367.3306850358,158048.96415078398,150146.51594324477
7,Aviation,Energy Intensity,Energy Intensity,[MJ/pkm],5.81,5.81,5.81,5.81,4.833919999999999,4.50856,4.39236,4.27616,4.229679999999999,4.183199999999999
8,Aviation,Energy Intensity,Energy Intensity,[MJ/tkm],32.2,32.2,32.2,32.2,29.119999999999997,27.16,26.46,25.759999999999998,25.48,25.2
9,Aviation,Carbon Intensity,Emission Intensity,[g CO2/pkm],425.87299999999993,425.87299999999993,425.87299999999993,425.4305539760696,350.7830726399999,302.38686492,128.7839952,31.344252799999992,6.200710879999974,0.0
10,Aviation,Carbon Intensity,Emission Intensity,[gCO2/tkm],2360.26,2360.26,2360.26,2357.8078895059284,2113.1510399999997,1821.60762,775.8072,188.82079999999996,37.35367999999994,0.0
11,Shipping,Quantity of Service,Quantity: Passenger,[million p km/a],0.0,301295.0975922223,308526.1799344356,298961.86835646804,304989.1313411075,320546.64221077284,330279.1327286739,347126.68783614814,364833.6375737171,383443.8197045176
