,Sector,Data,Subsector,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
0,Power Genration,Energy Intensity,Fossil,[PJ/a],4339.669344852413,4591.279899208063,4486.949316054715,4352.340836573074,4856.619530754425,3245.92641183476,3028.2620739881727,2342.4000380887096,694.4558303841056,0.0
1,Power Genration,Energy Intensity,Nuclear,[PJ/a],138.03455723542115,136.1144708423326,167.28743700503958,162.26881389488838,214.26262635681283,212.8476335629351,239.07332163064524,255.5345496096774,277.78233215364224,277.93918176272837
2,Power Genration,Energy Intensity,Renewables,[PJ/a],919.412181425486,1036.811684665227,1168.9931065514759,1133.9233133549317,2199.0362028924133,9354.911863021824,12768.535713005725,18848.808874362458,27052.53628258343,31361.019452941462
3,Power Genration,Carbon Intensity,Sector CO2 Intensity,[tCO2/PJ],152327.29667442283,157959.85039171824,153094.57057032632,153094.98257468318,124000.86845731786,51951.825253029776,42663.64613688837,26766.544766263614,9734.52920502481,1754.588218530697
4,Power Genration,Carbon Intensity,Electricity Carbon intensity ,[g CO2/kWh],720.6497677776629,739.4901400398187,717.2484154329411,717.2488442292994,579.240439379839,205.34503577344898,143.33413789444336,79.79119812019322,16.348922537454847,0.0
5,Aviation,Quantity of Service,Quantity: Passenger (domestic & international),[million p km/a],26501.65751462995,28817.473368330462,27772.403127366615,26939.231033545617,27317.62119785835,25978.785946100605,23482.764892295894,20165.449230527876,17316.75739778017,94135.2157000318
6,Aviation,Quantity of Service,Quantity: Freight (domestic  & international),[Mton km/a],531.3134236024844,577.7416158385091,556.7897245341613,540.0860327981366,549.862804265684,529.5499358853679,478.67119999089056,411.05124655482723,352.98369172303,790.9193679868004
7,Aviation,Energy Intensity,Energy Intensity,[MJ/pkm],5.81,5.81,5.81,5.81,4.833919999999999,4.50856,4.39236,4.27616,4.229679999999999,4.183199999999999
8,Aviation,Energy Intensity,Energy Intensity,[MJ/tkm],32.2,32.2,32.2,32.2,29.119999999999997,27.16,26.46,25.759999999999998,25.48,25.2
9,Aviation,Carbon Intensity,Emission Intensity,[g CO2/pkm],425.87299999999993,425.87299999999993,425.87299999999993,425.87299999999993,347.2398092799999,302.38686492,128.78399520000002,31.344252799999936,6.200710880000088,0.0
10,Aviation,Carbon Intensity,Emission Intensity,[gCO2/tkm],2360.26,2360.26,2360.26,2360.26,2091.80608,1821.60762,775.8072,188.82079999999996,37.35368000000017,0.0
11,Shipping,Quantity of Service,Quantity: Passenger,[million p km/a],1316.2974481481483,1567.290666666667,1668.9919451851852,1618.9221868296293,1651.5606963001924,1735.806890161656,1788.509747951373,1879.7417197987106,1975.6274391007028,2076.404293748164
