,Sector,Data,Subsector,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
0,Power Genration,Energy Intensity,Fossil,[PJ/a],731.5974442044636,789.9291000719943,848.9400719942405,824.0792368610512,974.1920162519833,908.4044459828326,761.3501606960342,462.2640433924128,310.50223911728096,0.16217060892835913
1,Power Genration,Energy Intensity,Nuclear,[PJ/a],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Power Genration,Energy Intensity,Renewables,[PJ/a],116.12267818574516,177.9979481641469,178.588120950324,197.94985601151907,553.1456566592465,1240.89209222784,2280.6628088201987,3628.4482473307276,4930.996883826127,6407.320980624398
3,Power Genration,Carbon Intensity,Sector CO2 Intensity,[tCO2/PJ],132114.43717597544,137493.48856686964,137271.36307992524,141976.22387335685,113675.28713083293,80844.77189252146,52872.45109066347,27928.231655054682,16951.993710158993,4.33484847085926
4,Power Genration,Carbon Intensity,Electricity Carbon intensity ,[g CO2/kWh],848.6740273693352,849.8657801819141,847.6867128004374,860.7048348663709,583.7244784858163,362.6014798614931,203.1377395462596,89.26190549537178,51.574591102136885,0.017712697825120815
5,Aviation,Quantity of Service,Quantity: Passenger (domestic & international),[million p km/a],18952.26930464716,20701.529194492254,18334.697142857145,12156.590044750434,12327.342287039299,11723.179856685882,10596.82607708521,9099.85511681812,7814.355217751967,6710.452714389946
6,Aviation,Quantity of Service,Quantity: Freight (domestic  & international),[Mton km/a],379.960954658385,415.03065776397494,367.5796770186334,243.71907577639743,248.13093900085943,238.96455955873708,216.00503508329464,185.49087334854732,159.28732440120686,136.78544532603019
7,Aviation,Energy Intensity,Energy Intensity,[MJ/pkm],5.81,5.81,5.81,5.81,4.833919999999999,4.50856,4.39236,4.27616,4.229679999999999,4.183199999999999
8,Aviation,Energy Intensity,Energy Intensity,[MJ/tkm],32.2,32.2,32.2,32.2,29.119999999999997,27.16,26.46,25.759999999999998,25.48,25.2
9,Aviation,Carbon Intensity,Emission Intensity,[g CO2/pkm],425.87299999999993,425.87299999999993,425.87299999999993,425.87299999999993,351.7324900573119,327.81626182610756,289.7639892,219.4097696,124.01421760000002,0.0
10,Aviation,Carbon Intensity,Emission Intensity,[gCO2/tkm],2360.26,2360.26,2360.26,2360.26,2118.8704220319996,1974.7967579886,1745.5662,1321.7456000000002,747.0736000000002,0.0
11,Shipping,Quantity of Service,Quantity: Passenger,[million p km/a],0.0,3279.09992925926,3105.1403288888882,2588.0835996296296,2640.2610246870636,2774.940871833428,2859.194088577769,3005.0417222817446,3158.3290510879265,3319.435574216207
12,Shipping,Quantity of Service,Quantity: Freight ,[Mton km/a],0.0,619084.2046894736,586241.1553263157,488622.39989999996,519003.094454908,545477.4683051078,559251.4579329684,573373.2580595063,587851.6513356641,602695.6421853268
13,Shipping,Energy Intensity,Energy Intensity,[MJ/pkm],0.056,0.056,0.056,0.056,0.0548856,0.054336744,0.05379337656,0.053255442794400004,0.05272288836645601,0.052195659482791444
14,Shipping,Energy Intensity,Energy Intensity,[MJ/tkm],0.19,0.19,0.19,0.19,0.18560000000000001,0.1824,0.17920000000000003,0.17600000000000002,0.1736,0.17120000000000002
15,Shipping,Carbon Intensity,Emission Intensity,[g CO2/pkm],0.6516227379424001,0.6170534861568,0.6170534861568,0.5143039729184,0.5212775782186224,0.44922738248352645,0.4059493169087009,0.20783221192027257,0.056970061288573355,0.0
16,Shipping,Carbon Intensity,Emission Intensity,[g CO2/tkm],15.447,15.447,15.447,15.447,14.75731584,12.085732799999999,10.635340800000002,5.294256000000001,1.4113679999999942,0.0
17,Road,Quantity of Service,Quantity: Passenger,[million person km/a],490060.153128,551126.0558160001,567783.2893879999,513875.64603199984,548474.3280161239,470993.5676903883,414990.4040919683,375118.45673116593,339077.37430282176,306499.09035665845
18,Road,Quantity of Service,Quantity: Freight,[Mton km/a],348880.0330764121,392353.6230299005,404212.11869102996,365834.58426578075,537877.9409164056,511516.5698722018,486447.168307442,462606.41686240793,397255.87066690787,341137.1330507523
19,Road,Energy Intensity,Road-Passenger: Energy Intensity,[MJ/pkm],2.4544063735655484,2.4386731922782037,2.410667526956562,2.361572431610059,1.7478174873323686,1.5524860998374892,1.3572622994,1.12641275,0.727921,0.5393600000000001
20,Road,Energy Intensity,Road Freight: Energy Intensity,[MJ/tkm],1.3358300067202846,1.335772345276374,1.3356668179948799,1.3354814078831219,1.1749503999999997,1.09648075,1.0025669749999997,0.7367600000000001,0.706468,0.6519039999999999
21,Road,Carbon Intensity,Road Passenger: Emission Intensity,[g CO2/pkm],162.1567776123834,158.69167338204835,152.48101391466588,141.82254617948007,110.25271862593344,97.02254125282373,79.24748553843932,57.70864588385403,18.72090923174956,0.0
22,Road,Carbon Intensity,Road Freight: Emission Intensity,[g CO2/tkm],88.25510382496765,86.92265507349245,84.48441287843531,80.20138239512399,70.02372194999998,64.349111925,53.33531122499998,17.009811,10.720957799999994,0.0
23,Chemical Industries,Market ,Total Chemical Industry,[bn $ GDP],27.058073672627337,28.458137289435367,29.886212070556784,30.992001917167386,39.55031896812753,142.98558433497448,150.7068058890631,158.24214618351624,164.88831632322393,170.49451907821356
24,Chemical Industries,Energy Intensity,Energy Intensity,[MJ/$GDP],7.386799166449211,7.105776627389076,6.444945870750066,5.297067357154541,5.139998745643091,5.037198770730229,4.936454795315624,4.837725699409312,4.740971185421126,4.646151761712703
25,Chemical Industries,Carbon Intensity,Emission intensity (energy only),[kg/$GDP],0.42579165120958823,0.4674270832972323,0.4968091007764502,0.4898015727927147,0.33120900481277443,0.23853709351141963,0.15854554838782065,0.0906776285038443,0.03741352768450075,3.5390488998872767e-06
26,Residential & Commercial Buildings and Construction,Stock,Building Stock: Residential,[billion m2],3.061422191,3.061422191,3.061422191,3.061422191,3.066683163545802,3.084592933093901,3.3431344092183326,3.5763562746805033,3.5721214615074226,3.564324869020423
27,Residential & Commercial Buildings and Construction,Stock,Building Stock: Commercial,[billion m2],0.3635774824638625,0.3672499822867298,0.37092248210959705,0.37463170693069303,0.39474945654296506,0.42410452932503534,0.45965171931771054,0.500370423621283,0.5455219681365692,0.5945094914486081
28,Residential & Commercial Buildings and Construction,Energy Intensity,Residential Buildings: Energy Intensity,[kWh/m2],139.18458203325574,138.83748831247456,138.4912601620694,138.14589542351064,133.86604927011817,125.9075047946392,117.74523766817947,109.5829705417198,101.46558344113167,93.34819634054355
29,Residential & Commercial Buildings and Construction,Energy Intensity,Commercial Buildings: Energy Intensity,[kWh/m2],88.27788514393782,88.05774079195794,87.83814542838697,87.61909768417654,84.08357521959567,77.43018636809381,71.17376845385448,64.9173505396151,61.037632998860666,57.15791545810627
30,Residential & Commercial Buildings and Construction,Energy Intensity,Construction: Residential and Commercial Building - Energy Intensity,[MJ/$GDP],0.5,0.5,0.5,0.5,0.48762437656093754,0.48518625467813287,0.4827603234047422,0.4803465217877185,0.4755430565698413,0.47078762600414287
31,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Total Emission Intensity (Heating & Electricity),[kg CO2/kWh],0.9051982167732332,0.9140723947902278,0.9194706180099432,0.9407883501972463,0.6308496484568206,0.3955194102391392,0.2286003905487356,0.10839020572459045,0.06583701311111372,1.7712697825120814e-05
32,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Heat per square metre,[kg CO2/m2],7.8672956769501186,8.914285105265316,9.94144349181901,11.063208934046218,6.308460325201145,4.144614476853079,2.998105893948443,2.0961359605316416,1.4471449704244717,0.0
33,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Heat,[kg CO2/kWh],0.056524189403897945,0.06420661460831373,0.0717839052095059,0.08008351533087535,0.04712516997100423,0.03291793037764613,0.025462651002475984,0.01912830022921867,0.014262422008976833,0.0
