,Sector,Data,Subsector,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
0,Power Genration,Energy Intensity,Fossil,[PJ/a],2922.5523938084953,2791.31619150468,2703.9608027357813,2641.7697042728587,2275.555539665876,2037.5511035494467,1552.0074271686042,811.5505699281656,183.4019457092576,0.0
1,Power Genration,Energy Intensity,Nuclear,[PJ/a],118.47279697624191,233.72607631389488,229.58594672426207,224.30546994960403,269.27620516460473,267.39088363327346,255.57642509760666,123.6233484690361,97.81437104493739,0.0
2,Power Genration,Energy Intensity,Renewables,[PJ/a],604.8383405327573,630.4178005759541,670.4758567314616,655.0549120266377,1332.8953041663262,2302.2548591059463,3823.3900965902667,5511.025601459406,6930.266039469847,7914.12383763688
3,Power Genration,Carbon Intensity,Sector CO2 Intensity,[tCO2/PJ],96482.19690273478,94385.43468991946,93519.4606860339,93519.74630553769,69475.72496942664,56315.580378003244,41192.632989416285,23820.675878653492,7974.854469637123,0.0
4,Power Genration,Carbon Intensity,Electricity Carbon intensity ,[g CO2/kWh],496.98699380994935,478.2507249010589,469.8598930450223,469.8607325950541,311.730646295061,208.5015486756923,121.80500676736402,49.17067834647692,9.757752373898205,0.0
5,Aviation,Quantity of Service,Quantity: Passenger (domestic & international),[million p km/a],22645.711781411363,22931.211407917384,22863.984506024095,22338.11286238554,22651.87542620591,21541.70814189614,19471.997988055802,16721.267220705457,14359.121115241845,12330.665880805502
6,Aviation,Quantity of Service,Quantity: Freight (domestic  & international),[Mton km/a],454.0082313664595,459.7320161490681,458.38423043478247,447.84139313478244,455.9483292310603,439.1048214904994,396.9159801204139,340.8452574734642,292.6954200909409,251.34751639864632
7,Aviation,Energy Intensity,Energy Intensity,[MJ/pkm],5.81,5.81,5.81,5.81,4.833919999999999,4.50856,4.39236,4.27616,4.229679999999999,4.183199999999999
8,Aviation,Energy Intensity,Energy Intensity,[MJ/tkm],32.2,32.2,32.2,32.2,29.119999999999997,27.16,26.46,25.759999999999998,25.48,25.2
9,Aviation,Carbon Intensity,Emission Intensity,[g CO2/pkm],425.87299999999993,425.87299999999993,425.87299999999993,425.87299999999993,347.2398092799999,302.38686492,128.78399520000002,31.344252799999936,6.200710880000088,0.0
10,Aviation,Carbon Intensity,Emission Intensity,[gCO2/tkm],2360.26,2360.26,2360.26,2360.26,2091.80608,1821.60762,775.8072,188.82079999999974,37.35367999999994,0.0
11,Shipping,Quantity of Service,Quantity: Passenger,[million p km/a],3405.0773451851855,3418.011439629629,3397.5306399999995,3319.38743528,3386.3084146354186,3559.0441765200226,3667.104468344873,3854.1636509970785,4050.764731928038,4257.394443847
12,Shipping,Quantity of Service,Quantity: Freight ,[Mton km/a],642868.3619368422,645310.2800684209,641443.5666947368,626690.364660758,665655.6035715385,699610.7292590684,717276.7768747406,735388.9143305297,753958.4059539064,772996.8005107255
13,Shipping,Energy Intensity,Energy Intensity,[MJ/pkm],0.056,0.056,0.056,0.056,0.0548856,0.054336744,0.05379337656,0.053255442794400004,0.05272288836645601,0.052195659482791444
14,Shipping,Energy Intensity,Energy Intensity,[MJ/tkm],0.19,0.19,0.19,0.19,0.18560000000000001,0.1824,0.17920000000000003,0.17600000000000002,0.1736,0.17120000000000002
15,Shipping,Carbon Intensity,Emission Intensity,[g CO2/pkm],0.6792272332832,0.6751572887808,0.6751572887808,0.6596286711388415,0.6685727785917358,0.4771907645021301,0.4814291388389336,0.09365568249672263,0.0,0.0
16,Shipping,Carbon Intensity,Emission Intensity,[g CO2/tkm],15.447,15.447,15.447,15.447,14.75731584,10.009656,9.834048000000003,1.8601439999999982,0.0,0.0
17,Road,Quantity of Service,Quantity: Passenger,[million person km/a],740196.089024,729455.9074879999,715100.4307439998,698653.120836888,745692.6669444027,640351.6658201362,564211.0949896236,510002.142546421,461001.5430602679,416708.8821290668
