,Sector,Data,Subsector,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
0,Textile & Leather Industries,Total Utilities Sector,,,2017.0,2018.0,2019.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
1,Textile & Leather Industries,Energy Intensity,Fossil,[PJ/a],736.0003599712023,806.4396328293736,782.7359611231102,827.9239740820734,898.026158624293,529.9205025939383,529.1037180247793,299.9914868282334,191.18882915028598,0.0
2,Textile & Leather Industries,Energy Intensity,Nuclear,[PJ/a],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Textile & Leather Industries,Energy Intensity,Renewables,[PJ/a],0.5590352771778259,0.5590352771778259,1.5569474442044635,2.8025197984161268,347.2706305523135,1426.4300094125085,2191.1952572162327,2901.4477899633307,3241.4916413863625,3603.178836669316
4,Textile & Leather Industries,Carbon Intensity,Sector CO2 Intensity,[tCO2/PJ],116071.71733133998,110032.82264661921,113360.67267894493,107450.2499444723,85816.57197314019,53546.41119168956,35634.211636363296,18741.689715807435,10956.856550894378,0.0
5,Textile & Leather Industries,Carbon Intensity,Electricity Carbon intensity ,[g CO2/kWh],716.7357796429046,674.5989183085496,691.9132106334145,700.013555622741,460.29129077424176,184.98133245310365,96.74258638249728,40.58142820599961,22.412063912245603,0.0
6,Textile & Leather Industries,Total Transport Sector,,,2017.0,2018.0,2019.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
7,Textile & Leather Industries,Quantity of Service,Quantity: Passenger (domestic & international),[million p km/a],6147.768330464718,5698.422030981068,5674.642543889845,3959.0690499139428,4014.6783873318127,3817.919199901132,3451.096565292649,2963.574046593199,2544.9218714910166,2185.4110037974588
8,Textile & Leather Industries,Quantity of Service,Quantity: Freight (domestic  & international),[Mton km/a],123.25236024844718,114.24372670807452,113.76698819875774,79.3726403726708,80.80946361669916,77.82422441594605,70.34693494440396,60.40930664046401,51.87552708111139,44.54728020567215
9,Textile & Leather Industries,Energy Intensity,Energy Intensity,[MJ/pkm],5.81,5.81,5.81,5.81,4.833919999999999,4.50856,4.39236,4.27616,4.229679999999999,4.183199999999999
