,Sector,Data,Subsector,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
0,Textile & Leather Industries,Total Utilities Sector,,,2017.0,2018.0,2019.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
1,Textile & Leather Industries,Energy Intensity,Fossil,[PJ/a],1292.8313174946004,1407.2799208063354,1339.8164290856732,1335.1270715838734,1002.3268870649468,974.4887730158872,895.7437312089913,567.2906007020844,318.0108486756412,0.0
2,Textile & Leather Industries,Energy Intensity,Nuclear,[PJ/a],534.2934665226782,480.5804931605471,525.2327897768179,523.3944750125991,428.29749530822187,462.5899693794399,451.39271045764326,347.02523741342725,183.27077243034736,0.0
3,Textile & Leather Industries,Energy Intensity,Renewables,[PJ/a],66.27053635709143,82.13726061915048,97.95569114470841,97.61284622570196,718.7681738523756,1201.5632986100154,1990.5060039759728,3095.4769521556,3894.664246155718,4879.300001832616
4,Textile & Leather Industries,Carbon Intensity,Sector CO2 Intensity,[tCO2/PJ],103147.94545070159,99782.7872376372,101044.2864666091,101044.3651074386,71500.87275461697,64474.65180918735,49180.4238512018,28154.412922902022,14120.437229958778,0.0
5,Textile & Leather Industries,Carbon Intensity,Electricity Carbon intensity ,[g CO2/kWh],579.1438463047332,574.2933855773691,553.414027736545,553.4145162357499,336.9362475652489,270.1203028571764,185.08098484446563,98.74508584335581,48.94545653181364,0.0
6,Textile & Leather Industries,Total Transport Sector,,,2017.0,2018.0,2019.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
7,Textile & Leather Industries,Quantity of Service,Quantity: Passenger (domestic & international),[million p km/a],8539.652106712567,8726.917925989674,7163.451666092943,7138.37958526162,7238.64572206524,6883.880056435243,6222.482345688572,5343.457314560326,4588.608610888499,3940.3943447899655
8,Textile & Leather Industries,Quantity of Service,Quantity: Freight (domestic  & international),[Mton km/a],171.2055857142857,174.95994875776393,143.61509378881982,143.11244096055898,145.70309790124162,140.32057733918123,126.83868807586869,108.9206972258973,93.5339088108456,80.32075005259414
9,Textile & Leather Industries,Energy Intensity,Energy Intensity,[MJ/pkm],5.81,5.81,5.81,5.81,4.833919999999999,4.50856,4.39236,4.27616,4.229679999999999,4.183199999999999
10,Textile & Leather Industries,Energy Intensity,Energy Intensity,[MJ/tkm],32.2,32.2,32.2,32.2,29.119999999999997,27.16,26.46,25.759999999999998,25.48,25.2
11,Textile & Leather Industries,Carbon Intensity,Emission Intensity,[g CO2/pkm],425.87299999999993,425.87299999999993,425.87299999999993,425.3535560733224,347.2398092799999,302.38686492,128.78399520000002,31.344252799999992,6.200710880000088,0.0
12,Textile & Leather Industries,Carbon Intensity,Emission Intensity,[gCO2/tkm],2360.26,2360.26,2360.26,2357.3811541413056,2091.80608,1821.60762,775.8072,188.82079999999996,37.35368000000017,0.0
13,Textile & Leather Industries,Quantity of Service,Quantity: Passenger,[million p km/a],460.7010333333333,346.95107481481483,418.0784507407407,416.61517616314813,425.014405282004,446.69441138866074,460.2570214764024,483.7347552007904,508.41008929869395,534.3441134251658
14,Textile & Leather Industries,Quantity of Service,Quantity: Freight ,[Mton km/a],86978.96952631578,65503.31946315789,78931.95412105262,78655.69228162894,83546.20602537475,87807.90218039403,90025.16174500072,92298.40989212405,94629.06040363344,97018.56276116215
15,Textile & Leather Industries,Energy Intensity,Energy Intensity,[MJ/pkm],0.056,0.056,0.056,0.056,0.0548856,0.054336744,0.05379337656,0.053255442794400004,0.05272288836645601,0.052195659482791444
16,Textile & Leather Industries,Energy Intensity,Energy Intensity,[MJ/tkm],0.19,0.19,0.19,0.19,0.18560000000000001,0.1824,0.17920000000000003,0.17600000000000002,0.1736,0.17120000000000002
17,Textile & Leather Industries,Carbon Intensity,Emission Intensity,[g CO2/pkm],0.0689461175872,0.08308054973119999,0.08308054973119999,0.0827897678071408,0.08391233965955708,0.05989204884717305,0.06042400575350019,0.011754692521682288,0.0,0.0
18,Textile & Leather Industries,Carbon Intensity,Emission Intensity,[g CO2/tkm],15.447,15.447,15.447,15.447,14.75731584,10.009656,9.834048000000001,1.8601439999999982,0.0,0.0
19,Textile & Leather Industries,Quantity of Service,Quantity: Passenger,[million person km/a],393190.81552800006,388368.913464,408023.23830799997,406595.156973922,433970.7616383035,372665.45917775546,328353.93114531424,296805.9470732847,268289.0681734621,242512.06827608534
20,Textile & Leather Industries,Quantity of Service,Quantity: Freight,[Mton km/a],279917.52410631237,276484.7509235881,290476.9138405316,289460.24464208976,425586.5548570814,404728.5790403049,384892.8515774956,366029.2721278358,314321.7903783772,269918.8164168553
21,Textile & Leather Industries,Energy Intensity,Road-Passenger: Energy Intensity,[MJ/pkm],2.449311624969743,2.444183737486833,2.447565356766268,2.447565356766268,1.8113833562595554,1.5736683840000003,1.2753238199999999,0.96881502,0.6917138,0.503604
22,Textile & Leather Industries,Energy Intensity,Road Freight: Energy Intensity,[MJ/tkm],1.3359370175756757,1.335922563159271,1.335926294997911,1.335926294997911,1.1684405,1.0994347,0.9435364999999999,0.7901199999999999,0.68039,0.5729284
23,Textile & Leather Industries,Carbon Intensity,Road Passenger: Emission Intensity,[g CO2/pkm],166.34145529776907,165.3837726844271,165.77014739895563,165.77014739895563,120.57055558190932,100.23329049600002,73.03579757999998,47.41400688,19.909039199999995,0.0
24,Textile & Leather Industries,Carbon Intensity,Road Freight: Emission Intensity,[g CO2/tkm],90.72822968879854,90.39415086555877,90.48040258607587,90.48040258607587,77.19794225957699,71.23663155,51.646999214999994,31.402727999999993,15.822654960000001,0.0
25,Textile & Leather Industries,Chemical Industries,,,2017.0,2018.0,2019.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
26,Textile & Leather Industries,Market ,Total Chemical Industry,[bn $ GDP],189.61738795142745,192.99955736351242,195.35565315452237,187.77843966798304,216.844430846881,219.67790590809705,221.24083896001432,221.88619115806944,221.93954700782936,221.8831499252322
27,Textile & Leather Industries,Energy Intensity,Energy Intensity,[MJ/$GDP],1.9172007851327566,1.94825854082318,1.8867894890539114,1.9575097014315677,1.8058219215573543,1.7697054831262071,1.734311373463683,1.6996251459944094,1.6656326430745212,1.6323199902130308
28,Textile & Leather Industries,Carbon Intensity,Emission intensity (energy only),[kg/$GDP],0.22882431769135514,0.26754364957578863,0.25514919965516497,0.2592705772281986,0.16151440165102082,0.1078868267428333,0.06908035334512301,0.03426541097206706,0.015833159903084315,0.0
29,Textile & Leather Industries,Residential & Commercial Buildings and Construction,,,2017.0,2018.0,2019.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
30,Textile & Leather Industries,Stock,Building Stock: Residential,[billion m2],1.6064,1.6064,1.6064,1.6064,1.6091605556405848,1.6185582316248532,1.7542210057653336,1.8765979865619788,1.8743758808030164,1.8702848259305664
