,Sector,Data,Subsector,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
0,Power Genration,Energy Intensity,Fossil,[PJ/a],733.6521598272137,720.20313174946,587.2761339092873,611.9211663066953,483.6423189985946,388.25972593101284,245.4157334376762,35.144614123099274,0.22117370210572113,0.0
1,Power Genration,Energy Intensity,Nuclear,[PJ/a],0.0,0.0,0.0,0.0,0.0,80.31519529087794,81.0830446356149,81.31383455227409,83.28904315181268,83.89640704689883
2,Power Genration,Energy Intensity,Renewables,[PJ/a],313.8810655147589,351.73524118070554,475.88776097912177,461.9065874730021,970.646710710152,1551.6588793965984,2487.57706911916,3502.7612152941747,4387.544222964872,5755.886994929616
3,Power Genration,Carbon Intensity,Sector CO2 Intensity,[tCO2/PJ],82861.52693621384,85968.18895983929,84409.54846278457,80532.27733047225,59852.74215659285,42895.67704940805,23680.37544858804,6501.729814712208,1415.9635825632383,0.0
4,Power Genration,Carbon Intensity,Electricity Carbon intensity ,[g CO2/kWh],480.08226154126856,488.99773772312034,457.52864763407496,435.69320220024304,237.27413123571966,139.22093811293362,56.72574435920325,7.6465870453324944,0.17748149250935782,0.0
5,Aviation,Quantity of Service,Quantity: Passenger (domestic & international),[million p km/a],7953.149741824441,8252.891566265062,7813.270223752152,4517.981411359725,6390.196222218135,6077.013024238015,5493.138455033203,4717.14489921814,4050.772829115814,3478.5364587428007
6,Aviation,Quantity of Service,Quantity: Freight (domestic  & international),[Mton km/a],159.44720496894405,165.45652173913038,156.64285714285708,90.57788819875775,92.2175516211653,88.81087822208475,80.2779998070146,68.93744994942146,59.19893391655895,50.83613883931493
7,Aviation,Energy Intensity,Energy Intensity,[MJ/pkm],5.81,5.81,5.81,5.81,4.833919999999999,4.50856,4.39236,4.27616,4.229679999999999,4.183199999999999
8,Aviation,Energy Intensity,Energy Intensity,[MJ/tkm],32.2,32.2,32.2,32.2,29.119999999999997,27.16,26.46,25.759999999999998,25.48,25.2
9,Aviation,Carbon Intensity,Emission Intensity,[g CO2/pkm],425.87299999999993,425.87299999999993,425.87299999999993,425.87299999999993,347.2398092799999,280.9058308,199.61519256000003,125.3770112,62.0071088,0.0
10,Aviation,Carbon Intensity,Emission Intensity,[gCO2/tkm],2360.26,2360.26,2360.26,2360.26,2091.80608,1692.2038,1202.5011600000003,755.2832000000001,373.53679999999986,0.0
11,Shipping,Quantity of Service,Quantity: Passenger,[million p km/a],330.01111111111106,420.7103703703703,420.642962962963,438.75585185185184,447.6014511909872,470.43362364107213,484.7170076435101,509.4424464877276,535.4291312061331,562.7413980139573
12,Shipping,Quantity of Service,Quantity: Freight ,[Mton km/a],62305.10526315789,79428.85263157895,79416.12631578946,82835.78526315789,87986.20139391856,92474.38193513102,94809.47596124184,97203.53403768396,99658.04508061775,102174.53560320244
13,Shipping,Energy Intensity,Energy Intensity,[MJ/pkm],0.056,0.056,0.056,0.056,0.0548856,0.054336744,0.05379337656,0.053255442794400004,0.05272288836645601,0.052195659482791444
14,Shipping,Energy Intensity,Energy Intensity,[MJ/tkm],0.19,0.19,0.19,0.19,0.18560000000000001,0.1824,0.17920000000000003,0.17600000000000002,0.1736,0.17120000000000002
15,Shipping,Carbon Intensity,Emission Intensity,[g CO2/pkm],0.08360356479999999,0.08359016960000001,0.08359016960000001,0.08718956288,0.08837179290317836,0.07241940220924384,0.06363519053923328,0.014283907065504139,0.0028974273985157097,0.0
16,Shipping,Carbon Intensity,Emission Intensity,[g CO2/tkm],15.447,15.447,15.447,15.447,14.75731584,11.492567999999999,9.834048000000003,2.1463199999999993,0.4234103999999963,0.0
17,Road,Quantity of Service,Quantity: Passenger,[million person km/a],300176.48639999994,301174.6024,304161.84119999997,292066.74000000005,289059.9070703652,248225.5776670026,218710.487464039,197696.9580970105,178702.3918879859,161532.80846545403
18,Road,Quantity of Service,Quantity: Freight,[Mton km/a],213699.44451827247,214410.01594684392,216536.66910299007,207926.0132890366,236381.87710706485,224796.81310550324,213779.53251256348,203302.2082917214,193338.37720812432,183862.87298873917
19,Road,Energy Intensity,Road-Passenger: Energy Intensity,[MJ/pkm],2.492711465791879,2.4908772004421844,2.490172793539757,2.492833361518672,1.8063698719999999,1.637682024,0.886215988,0.7513489520000002,0.5800590000000001,0.4407700000000001
20,Road,Energy Intensity,Road Freight: Energy Intensity,[MJ/tkm],1.3359823259707526,1.3359764144255744,1.3359742010504374,1.335982741215929,1.1749503999999997,1.1082965500000002,0.97164625,0.742096,0.6595275999999999,0.5795521600000001
21,Road,Carbon Intensity,Road Passenger: Emission Intensity,[g CO2/pkm],171.23712073482443,170.85711055497953,170.71371647451988,171.2633504905133,121.208289168,108.600205656,38.162588172,26.847620688000006,11.809350000000002,0.0
22,Road,Carbon Intensity,Road Freight: Emission Intensity,[g CO2/tkm],91.77547020235262,91.63882904297097,91.58766876221449,91.78506834437941,78.39342125999998,73.28320881,56.3665986975,25.570792799999992,11.64517829999999,0.0
23,Chemical Industries,Market ,Total Chemical Industry,[bn $ GDP],15.496268626644053,15.95803964737561,16.1,16.86945441117622,21.570844001058234,28.05962112558931,36.498422581133525,47.43861512981198,61.68433470039349,80.18458658272291
24,Chemical Industries,Energy Intensity,Energy Intensity,[MJ/$GDP],5.731360600481259,5.7321739673635195,5.585954588641578,6.5014331758460155,6.308652715845757,5.993220080053469,5.6935590760507955,5.408881122248255,5.138437066135842,4.88151521282905
25,Chemical Industries,Carbon Intensity,Emission intensity (energy only),[kg/$GDP],0.5061897197411748,0.5154980488800871,0.4901936869244913,0.5250721380932241,0.27538539940314516,0.157512044061953,0.06833099111593038,0.018934490541126933,0.005644492264564159,0.0
26,Residential & Commercial Buildings and Construction,Stock,Building Stock: Residential,[billion m2],2.4,2.4,2.4,2.4,2.4384,2.646958375269347,2.8788933881225,3.13180175739874,3.628538203913288,3.9620584860395973
27,Residential & Commercial Buildings and Construction,Stock,Building Stock: Commercial,[billion m2],0.5,0.5,0.5,0.5,0.508,0.5514496615144473,0.5997694558588541,0.6524586994580708,0.7559454591486017,0.9161954675205833
28,Residential & Commercial Buildings and Construction,Energy Intensity,Residential Buildings: Energy Intensity,[kWh/m2],56.37499999842151,56.37499999842151,56.37499999842151,56.37499999842151,54.68374999846886,52.003702139763014,49.45500329287797,47.03121604929868,44.72621849758023,42.534188760852125
29,Residential & Commercial Buildings and Construction,Energy Intensity,Commercial Buildings: Energy Intensity,[kWh/m2],74.9999999979,74.9999999979,74.9999999979,74.9999999979,72.749999997963,69.18452612828783,65.79379595504828,62.56924529840178,59.50272970853245,56.586503894703476
30,Residential & Commercial Buildings and Construction,Energy Intensity,Construction: Residential and Commercial Building - Energy Intensity,[MJ/$GDP],0.7,0.7,0.7,0.7,0.6826741271853125,0.6792607565493859,0.6452977187219165,0.6130328327858207,0.5823811911465296,0.5532621315892031
31,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Total Emission Intensity (Heating & Electricity),[kg CO2/kWh],0.6166678679416371,0.617310875110527,0.5933230932478408,0.5632343241090843,0.3198862167300034,0.19111055310883218,0.09261485086111522,0.026128941225411307,0.004351303242817809,0.0
32,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Heat per square metre,[kg CO2/m2],7.700013560605174,7.233653120012509,7.655411871261703,7.190130747409597,4.517538630021547,2.698452082393688,1.7748958802305048,0.8692475925429451,0.18667926357424852,0.0
33,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Heat,[kg CO2/kWh],0.1365856064003685,0.12831313738740666,0.1357944456137659,0.12754112190884115,0.08261208549428373,0.051889614995898545,0.035889106501911974,0.018482354180078812,0.004173821750308451,0.0
34,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Electricity,[kg CO2/kWh],0.48008226154126854,0.48899773772312033,0.45752864763407497,0.43569320220024305,0.23727413123571967,0.13922093811293362,0.056725744359203245,0.0076465870453324945,0.00017748149250935782,0.0
35,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Total Emission Intensity (Heating & Electricity),[kg CO2/kWh],24.221180867662742,22.754196362738046,24.080881688175758,22.617292284542884,14.673826241704361,9.244691177107109,6.392452417860546,3.3111080457751383,0.7575828276315181,0.0
36,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Emission Intensity - Heat per square metre,[kg CO2/m2],23.902481119395215,22.45479904216743,23.764027981743638,22.319696333422254,14.474859106218128,9.112971385194443,6.296748133855447,3.2590214112676437,0.7450613623805927,0.0
37,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Emission Intensity - Heat,[kg CO2/kWh],0.31869974826752645,0.2993973205706155,0.3168537064321204,0.29759595112062937,0.19896713548623263,0.13171979191266553,0.09570428400509857,0.052086634507494844,0.012521465250925352,0.0
38,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Emission Intensity - Electricity,[kg CO2/kWh],0.48008226154126854,0.48899773772312033,0.45752864763407497,0.43569320220024305,0.23727413123571967,0.13922093811293362,0.056725744359203245,0.0076465870453324945,0.00017748149250935782,0.0
39,Total Materials / Steel,Market Development,Regional: Minning iron ore - production volume in mega tonnes per year,[Mt/a],0.5,0.5,6.6,6.6,6.7999865999999995,7.182304853495809,7.66145158774886,8.17256321316545,8.80417162027703,9.484593253977225
40,Total Materials / Steel,Market Development,Annual production volume- Iron & Steel Industry,[Mt/a],37.523894999999996,37.311732000000006,33.743078999999994,33.743078999999994,34.765528036778996,36.72016364751401,39.16984336061897,41.78294638399026,45.0120997746312,48.49081506845768
41,Total Materials / Steel,Energy Intensity,Average Energy Intensity in  steel production ,[GJ/ton],6.931028800119773,6.939428226650774,6.653847724596737,6.653847724596737,7.274834398217794,6.941209572649227,9.975991444455937,9.800806029377403,10.51780947647057,10.510165587047691
42,Total Materials / Steel,Energy Intensity,Energy Intensity - PRIMARY steel (FINAL ENERGY),[GJ/ton],12.743431959572534,12.743431959572534,12.743431959572534,12.743431959572534,12.779644020099136,12.779644020099136,11.911903868761765,11.046807858240683,10.715023212307825,10.300292404891756
43,Total Materials / Steel,Energy Intensity,Energy Intensity - SECONDARY steel (FINAL ENERGY),[GJ/ton],4.3440054285714345,4.3440054285714345,4.3440054285714345,4.3440054285714345,6.107147508727812,6.107147508727812,9.819025572214922,9.742093901315782,10.512752714013203,10.737528201049953
