,Sector,Data,Subsector,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
0,Textile & Leather Industries,Total Utilities Sector,,,2017.0,2018.0,2019.0,2020,2025,2030,2035,2040,2045,2050
1,Textile & Leather Industries,Energy Intensity,Fossil,[PJ/a],532.4103671706264,491.6685745140389,449.9697264218862,375.55957523398126,313.94746125342283,294.2588441907329,219.92238011163664,65.01073902624805,22.806914899269366,0
2,Textile & Leather Industries,Energy Intensity,Nuclear,[PJ/a],253.1908927285817,234.2111231101512,202.24596832253422,180.9875809935205,156.97373062671141,163.31365852585674,39.985887293024845,32.50536951312402,15.964840429488554,16.29000850895903
3,Textile & Leather Industries,Energy Intensity,Renewables,[PJ/a],422.3068394528438,478.3394168466523,531.7492440604753,618.3729661627069,838.0314213177559,1032.0506197943375,1788.040656059708,2159.6862210696067,2358.73441086452,2451.7322636320564
4,Textile & Leather Industries,Carbon Intensity,Sector CO2 Intensity,[tCO2/PJ],57738.38832359642,55724.46647180207,54284.52749849179,52257.00838205169,45231.68786368112,39360.38297118812,26164.596167269927,11854.869527489052,4295.155676302546,0
5,Textile & Leather Industries,Carbon Intensity,Electricity Carbon intensity ,[g CO2/kWh],241.60808995403514,220.80162187812465,203.39636928551207,182.21975310317882,127.5951178801112,97.43978490679888,47.805796738452756,12.89974617260877,4.341282841372958,0
6,Textile & Leather Industries,Total Transport Sector,,,2017.0,2018.0,2019.0,2020,2025,2030,2035,2040,2045,2050
7,Textile & Leather Industries,Quantity of Service,Quantity: Passenger (domestic & international),[million p km/a],5686.675559380379,5727.76265060241,5750.93803786575,2328.084681583477,2446.8403978280926,3122.85728612816,3985.645176604158,5086.805453566944,6492.196012411941,8285.870070777382
8,Textile & Leather Industries,Quantity of Service,Quantity: Freight (domestic  & international),[Mton km/a],114.00822981366456,114.8319565217391,115.29658385093164,46.67416149068322,47.51906875104994,45.763633428625624,41.36669999326638,35.5229928151418,30.50480262505889,26.195511961400744
9,Textile & Leather Industries,Energy Intensity,Energy Intensity,[MJ/pkm],5.81,5.81,5.81,5.81,4.833919999999999,4.50856,4.39236,4.27616,4.229679999999999,4.183199999999999
10,Textile & Leather Industries,Energy Intensity,Energy Intensity,[MJ/tkm],32.2,32.2,32.2,32.2,29.119999999999997,27.16,26.46,25.759999999999998,25.48,25.2
11,Textile & Leather Industries,Carbon Intensity,Emission Intensity,[g CO2/pkm],425.87299999999993,425.87299999999993,425.87299999999993,425.87299999999993,347.2398092799999,280.9058308,199.61519255999997,125.3770112,62.00710879999997,0
12,Textile & Leather Industries,Carbon Intensity,Emission Intensity,[gCO2/tkm],2360.26,2360.26,2360.26,2360.26,2091.80608,1692.2038,1202.5011599999998,755.2831999999999,373.53679999999986,0
13,Textile & Leather Industries,Quantity of Service,Quantity: Passenger,[million p km/a],946.0118888888888,926.8596296296297,963.8994814814814,479.7307407407408,489.4024201162949,514.3668620854883,529.9841543879228,557.0186726554568,585.4322230542472,615.2951500823987
