,Sector,Data,Subsector,Unit,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
0,Power Genration,Energy Intensity,Fossil,[PJ/a],9194.432577393809,9661.916342692586,9359.997264218862,9041.757357235421,8760.508893658152,5927.9541295287645,2097.9034336557547,120.32227918234157,57.153082611612234,0.0
1,Power Genration,Energy Intensity,Nuclear,[PJ/a],3019.65935925126,3028.5407847372207,3035.7453563714903,2932.53001425486,2906.6587231942335,1476.5416363082647,1387.092934849826,0.0,0.0,0.0
2,Power Genration,Energy Intensity,Renewables,[PJ/a],2439.2206160650003,2533.573330133589,2644.395357680476,2563.983050410367,7010.38160416202,14347.505610133372,25374.878598171792,33525.54816313748,36164.32374711797,38093.234229441645
3,Power Genration,Carbon Intensity,Sector CO2 Intensity,[tCO2/PJ],78534.44712958239,76684.42749934511,73382.60622119153,73366.42476735731,65933.04828251705,46592.095119193495,20362.803847144663,3792.544866593385,265.4959469057578,0.0
4,Power Genration,Carbon Intensity,Electricity Carbon intensity ,[g CO2/kWh],441.0627686538751,429.4196344539352,400.33941705857,400.07557218592655,298.5518499481579,149.94577882423755,41.82820701656695,2.908025747323775,1.0082736324548345,0.0
5,Aviation,Quantity of Service,Quantity: Passenger (domestic & international),[million p km/a],378478.85421686753,384383.97573149746,390993.99242685025,377700.1966843374,383005.3978352675,364234.3223993303,281837.5754558311,218080.54335893996,168746.56729078997,130572.8770381743
6,Aviation,Quantity of Service,Quantity: Freight (domestic  & international),[Mton km/a],7587.86108695652,7706.248788819875,7838.768447204967,7572.2503199999965,7709.325075460989,7424.5294785519745,6711.1866021177875,5763.124288060511,4948.990920495648,4249.866896309976
7,Aviation,Energy Intensity,Energy Intensity,[MJ/pkm],5.81,5.81,5.81,5.81,4.833919999999999,4.50856,4.39236,4.27616,4.229679999999999,4.183199999999999
8,Aviation,Energy Intensity,Energy Intensity,[MJ/tkm],32.2,32.2,32.2,32.2,29.119999999999997,27.16,26.46,25.759999999999998,25.48,25.2
9,Aviation,Carbon Intensity,Emission Intensity,[g CO2/pkm],425.87299999999993,425.87299999999993,425.87299999999993,425.87299999999993,349.0114409599999,302.38686492,193.17599280000002,134.78028703999996,93.01066320000001,0.0
10,Aviation,Carbon Intensity,Emission Intensity,[gCO2/tkm],2360.26,2360.26,2360.26,2360.26,2102.4785599999996,1821.60762,1163.7107999999998,811.9294399999999,560.3052,0.0
11,Shipping,Quantity of Service,Quantity: Passenger,[million p km/a],8817.958333333334,9378.831000000002,9432.559111111112,9111.852101333334,9295.55288295406,9769.719501220745,10066.349351255682,10579.834335987336,11119.51221551575,11686.71909071677
12,Shipping,Quantity of Service,Quantity: Freight ,[Mton km/a],1664804.0131578944,1770695.0857894735,1780838.791578947,1720290.2726652632,1827251.4216635877,1920459.6082279433,1968953.6199176454,2018672.166171722,2069646.168022423,2121907.3272968093
13,Shipping,Energy Intensity,Energy Intensity,[MJ/pkm],0.056,0.056,0.056,0.056,0.0548856,0.054336744,0.05379337656,0.053255442794400004,0.05272288836645601,0.052195659482791444
14,Shipping,Energy Intensity,Energy Intensity,[MJ/tkm],0.19,0.19,0.19,0.19,0.18560000000000001,0.1824,0.17920000000000003,0.17600000000000002,0.1736,0.17120000000000002
15,Shipping,Carbon Intensity,Emission Intensity,[g CO2/pkm],1.8374691977600002,1.85118639776,1.85118639776,1.7882460602361598,1.8071110374966428,1.309907853494908,1.3215423616263107,0.2570886177038218,0.0,0.0
16,Shipping,Carbon Intensity,Emission Intensity,[g CO2/tkm],15.011178044411338,15.063770748746492,15.063770748746492,15.063770748746492,14.53097664,10.751112,10.926720000000001,4.006463999999998,2.258188799999999,2.3661551999999997
17,Road,Quantity of Service,Quantity: Passenger,[million person km/a],6207901.9492,6272313.871599998,6231961.831199999,6020075.128939199,6425400.165288035,5517709.750671239,4498989.883978631,3668353.5181747675,2838502.024374695,2196378.7575162994
18,Road,Quantity of Service,Quantity: Freight,[Mton km/a],4419484.064451829,4465339.728239203,4436612.5993355485,4285767.7709581405,6301263.03808965,5992438.451025901,5698749.3415638,5419453.92070135,4653869.482419519,3996436.075720488
19,Road,Energy Intensity,Road-Passenger: Energy Intensity,[MJ/pkm],2.4212788274427273,2.4228162903572765,2.4214284299859856,2.421428429985985,1.782089872,1.602912024,1.216218988,0.724613452,0.52968368,0.4563400000000001
20,Road,Energy Intensity,Road Freight: Energy Intensity,[MJ/tkm],1.335213435073692,1.3350620063965486,1.3348943278506133,1.3348943278506131,1.17820535,1.0994346999999998,0.8029877499999999,0.63004,0.602156,0.6009519999999999
21,Road,Carbon Intensity,Road Passenger: Emission Intensity,[g CO2/pkm],166.96116343251995,167.03338111647867,166.9027909750999,166.90279097509986,121.379409168,107.567965656,71.871503172,26.459840688,9.155863919999998,3.5107200000000027
22,Road,Carbon Intensity,Road Freight: Emission Intensity,[g CO2/tkm],85.55688106465216,85.70092275276691,85.59133675696768,85.59133675696766,77.56239064806527,71.17581203217841,45.00283442527714,19.857908437321584,6.3547705889135955,0.0
23,Chemical Industries,Market ,Total Chemical Industry,[bn $ GDP],362.92,375.76,390.9599999999999,394.62,490.23915199950306,527.6234135227286,578.3759061843049,638.5490875455218,702.4462328678461,771.5304055889973
24,Chemical Industries,Energy Intensity,Energy Intensity,[MJ/$GDP],6.659670081218752,6.3859857954507575,6.078755832912485,5.740809908836801,5.295953513430689,4.9781963026248475,4.679504524467356,4.398734252999315,4.134810197819355,3.886721585950194
25,Chemical Industries,Carbon Intensity,Emission intensity (energy only),[kg/$GDP],0.44191629874565835,0.4245508857462815,0.3875952584878282,0.3873119484703813,0.24537158909719375,0.14355853332240004,0.05596755536255323,0.000930977752550932,0.0003094329401498757,0.0
26,Residential & Commercial Buildings and Construction,Stock,Building Stock: Residential,[billion m2],23.6728526768451,23.797067822694974,23.921896261889824,24.047340808873003,24.6484372149588,25.2670797668602,25.813044817941798,26.3590098690234,26.770778245429245,27.1825466218351
27,Residential & Commercial Buildings and Construction,Stock,Building Stock: Commercial,[billion m2],8.495662717816387,8.614020808,8.73847300266393,8.867814311649004,9.59380960600804,10.469909715690148,11.493910410716715,12.669643746407989,14.022127431605451,15.581287440042223
28,Residential & Commercial Buildings and Construction,Energy Intensity,Residential Buildings: Energy Intensity,[kWh/m2],150.77301793497443,150.39702537154557,150.02197044543198,149.64785081838602,144.1631087288051,134.0184807970176,123.87402868133455,113.72957656565157,104.92773793114995,96.12589929664827
29,Residential & Commercial Buildings and Construction,Energy Intensity,Commercial Buildings: Energy Intensity,[kWh/m2],117.01659787700368,116.72478591222313,116.43370165807794,116.14334329982837,110.79719067043436,101.33117403890002,92.66209740819966,83.99302077749924,78.97379638120694,73.9545719849147
30,Residential & Commercial Buildings and Construction,Energy Intensity,Construction: Residential and Commercial Building - Energy Intensity,[MJ/$GDP],0.7,0.7,0.7,0.7,0.6690551209649999,0.6657098453601749,0.6623812961333739,0.659069389652707,0.6458880018596529,0.6329702418224599
31,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Total Emission Intensity (Heating & Electricity),[kg CO2/kWh],0.5812905309312466,0.567450044773425,0.5375883870803869,0.5373245422077434,0.4070934262316466,0.22355466025398615,0.0758151729513955,0.021238927247709965,0.0010385170389924966,0.0
32,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Heat per square metre,[kg CO2/m2],21.14256291682748,20.759363122865146,20.59036092427899,20.539013390801987,15.647691063352477,9.864950462382708,4.210102393002494,2.0847656657055884,0.0031733722353290508,0.0
33,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Heat,[kg CO2/kWh],0.1402277622773716,0.13803041031948976,0.13724897002181688,0.13724897002181688,0.10854157628348872,0.07360888142974861,0.03398696593482856,0.01833090150038619,3.0243406537662243e-05,0.0
34,Residential & Commercial Buildings and Construction,Carbon Intensity,Residential Buildings: Emission Intensity - Electricity,[kg CO2/kWh],0.44106276865387506,0.4294196344539352,0.40033941705857,0.40007557218592654,0.2985518499481579,0.14994577882423754,0.04182820701656695,0.002908025747323775,0.0010082736324548344,0.0
35,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Total Emission Intensity (Heating & Electricity),[kg CO2/kWh],38.61480800772147,37.91573450988924,37.60786072964789,37.51487416323161,29.22569020004692,19.120919035467686,8.488774703992203,4.390723586806462,0.007256040108951188,0.0
36,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Emission Intensity - Heat per square metre,[kg CO2/m2],38.287609895740935,37.593663552477096,37.28761313293032,37.19462656651404,28.96427316420922,18.934065721069093,8.39814279483266,4.339063773487191,0.007165309889338202,0.0
37,Residential & Commercial Buildings and Construction,Carbon Intensity,Commercial Buildings: Emission Intensity - Heat,[kg CO2/kWh],0.3271981119805337,0.32207095741214276,0.3202475967175727,0.32024759671757275,0.2614170358376982,0.18685331439859265,0.09063190915954283,0.051659813319270165,9.073021961298673e-05,0.0
