company_name;company_lei;company_id;investment_value
CARPENTER TECHNOLOGY CORP;DX6I6ZD3X5WNNCDJKP85;US1442851036;10000000
CLEVELAND-CLIFFS INC;549300TM2WLI2BJMDD86;US1858991011;10000000
COMMERCIAL METALS CO;549300OQS2LO07ZJ7N73;US2017231034;10000000
FRIEDMAN INDUSTRIES INC;549300VI5ADYNC8C3G47;US3584351056;10000000
GENERAL STEEL HOLDINGS INC;5493008ZKBIR02ICY091;US3708532029;10000000
GERDAU S.A.;254900YDV6SEQQPZVG24;US3737371050;10000000
GIBRALTAR INDUSTRIES, INC.;LEI08;US3746891072;10000000
GROUP SIMEC SA DE CV;529900LCYCXPA0TZEU09;MXP4984U1083;10000000
HAYNES INTERNATIONAL INC;549300I9MS5UZLRFDO40;US4208772016;10000000
INSTEEL INDUSTRIES INC;52990026LKY4MOX3L174;US45774W1080;10000000
LEGATO MERGER CORP.;5493006RXIB5GVHWJS53;CA0156581070;10000000
MECHEL PAO;253400C9GSPBSKERRP65;US5838406081;10000000
NATIONAL STEEL CO;335800Y6L4X95L2FEF64;INE088B01015;10000000
NIPPON STEEL CORP;35380065QWQ4U2V3PA33;JP3381000003;10000000
NUCOR CORP;549300GGJCRSI2TIEJ46;US6703461052;10000000
OSSEN INNOVATION CO. LTD.;LEI17;US6884102087;10000000
POSCO;988400E5HRVX81AYLM04;KR7005490008;10000000
STEEL DYNAMICS INC;549300HGGKEL4FYTTQ83;US8581191009;10000000
TENARIS SA;549300Y7C05BKC4HZB40;US88031M1099;10000000
TERNIUM S.A.;529900QG4KU23TEI2E46;US8808901081;10000000
TIMKENSTEEL CORP;549300QZTZWHDE9HJL14;US8873991033;10000000
TITAN INTERNATIONAL INC;254900CXRGBE7C4B5A06;US88830M1027;10000000
UNITED STATES STEEL CORP;JNLUVFYJT1OZSIQ24U47;US9129091081;10000000
UNIVERSAL STAINLESS & ALLOY PRODUCTS INC;5493001OEIZDUGXZDE09;US9138371003;10000000
WORTHINGTON INDUSTRIES INC;1WRCIANKYOIK6KYE5E82;US9818111026;10000000
